Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Static Function,"AllocCache",git-2.11.0/compat/nedmalloc/nedmalloc.c,,,,0,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,28,,,,0,,,,24,,,3,15,1,,,,2,2,6,12,1,21,20,3,,,2,15,,,6,6,7,4,3,,,,,3,,1,3,,0.04,,,,
Function,"Commit",git-2.11.0/gitweb/static/js/blame_incremental.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,8,,0,,0,,8,8,,,,1,,1,,,,,2,0,,5,1,1,,,4,4,,2,2,2,1,,,,,,,,1,,,,2,2,2,1
Struct,"DIR",git-2.11.0/compat/win32/dirent.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,,0,,,,0,,,,0,,,0,0,0,,,,0,0,,,,,3,3,,,0,0,,,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
Static Function,"DestroyCaches",git-2.11.0/compat/nedmalloc/nedmalloc.c,,,,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,21,,,,0,,,,21,,,3,9,0,,,,0,0,8,5,1,11,15,2,,,0,13,,,5,5,5,5,5,,,,,5,,4,5,,0.00,,,,
Static Function,"FindMSpace",git-2.11.0/compat/nedmalloc/nedmalloc.c,,,,0,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,55,,,,0,,,,50,,,4,23,10,,,,0,0,9,81,2,26,35,6,,,1,28,,,11,11,13,10,19,,,,,19,,2,19,,0.20,,,,
Static Function,"GetMSpace",git-2.11.0/compat/nedmalloc/nedmalloc.c,,,,0,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,,,,0,,,,7,,,2,3,2,,,,0,0,3,3,0,4,6,1,,,0,5,,,3,3,3,1,1,,,,,0,,1,0,,0.29,,,,
Static Function,"GetThreadCache",git-2.11.0/compat/nedmalloc/nedmalloc.c,,,,0,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,43,,,,0,,,,34,,,2,17,1,,,,7,2,7,78,2,16,23,1,,,0,22,,,10,10,11,7,9,,,,,9,,3,9,,0.03,,,,
Unknown Class,"IndentedHelpFormatter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
Static Function,"InitPool",git-2.11.0/compat/nedmalloc/nedmalloc.c,,,,0,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,30,,,,0,,,,30,,,1,15,2,,,,0,0,10,16,1,18,28,2,,,4,22,,,10,10,12,8,13,,,,,13,,2,13,,0.07,,,,
Static Function,"Q_",git-2.11.0/gettext.h,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,7,,,,0,,,,7,,,2,2,0,,,,0,0,2,2,0,2,4,1,,,0,3,,,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
