Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountClassBase
File,"maven-maven-3.0/apache-maven/pom.xml",maven-maven-3.0/apache-maven/pom.xml,0,0,0,0,183,8,159,16,,,,0,,,0,,0,,,,,,,,,,183,0,0,0,8,0,0,0,159,0,0,,,16,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.10,0,0,0,0,
File,"maven-maven-3.0/apache-maven/src/conf/settings.xml",maven-maven-3.0/apache-maven/src/conf/settings.xml,0,0,0,0,257,18,15,224,,,,0,,,0,,0,,,,,,,,,,257,0,0,0,18,0,0,0,15,0,0,,,224,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,14.93,0,0,0,0,
File,"maven-maven-3.0/apache-maven/src/main/assembly/bin.xml",maven-maven-3.0/apache-maven/src/main/assembly/bin.xml,0,0,0,0,102,4,60,38,,,,0,,,0,,0,,,,,,,,,,102,0,0,0,4,0,0,0,60,0,0,,,38,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.63,0,0,0,0,
File,"maven-maven-3.0/apache-maven/src/main/assembly/src.xml",maven-maven-3.0/apache-maven/src/main/assembly/src.xml,0,0,0,0,53,4,32,17,,,,0,,,0,,0,,,,,,,,,,53,0,0,0,4,0,0,0,32,0,0,,,17,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.53,0,0,0,0,
File,"maven-maven-3.0/apache-maven/src/site/site.xml",maven-maven-3.0/apache-maven/src/site/site.xml,0,0,0,0,8,0,8,0,,,,0,,,0,,0,,,,,,,,,,8,0,0,0,0,0,0,0,8,0,0,,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.00,0,0,0,0,
File,"maven-maven-3.0/apache-maven/src/test/java/org/apache/maven/settings/GlobalSettingsTest.java",maven-maven-3.0/apache-maven/src/test/java/org/apache/maven/settings/GlobalSettingsTest.java,1,1,1,1,18,2,16,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,60,,,,9,,,,27,,,14,8,24,,,,,,,13,16,12,,,4,,,,,,,,1,1,1,1,,,1,,,,0.89,1,1,1,1,
File,"maven-maven-3.0/build.xml",maven-maven-3.0/build.xml,0,0,0,0,275,34,201,40,,,,0,,,0,,0,,,,,,,,,,275,0,0,0,34,0,0,0,201,0,0,,,40,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.20,0,0,0,0,
File,"maven-maven-3.0/maven-aether-provider/pom.xml",maven-maven-3.0/maven-aether-provider/pom.xml,0,0,0,0,74,10,48,16,,,,0,,,0,,0,,,,,,,,,,74,0,0,0,10,0,0,0,48,0,0,,,16,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.33,0,0,0,0,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReader.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReader.java,3,3,3,1,20,1,18,0,,,,1,2,0,16,,16,14,5,16,,1,8,0,7,,446,,,,51,,,,374,,,131,162,21,,,,,,,186,242,122,,,120,,,,,,,,15,15,16,10,,,4,,,,0.06,52,52,54,25,
File,"maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultModelCache.java",maven-maven-3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultModelCache.java,1,1,2,1,8,0,7,0,,,,2,1,0,7,,7,6,7,7,,0,1,0,6,,119,,,,21,,,,75,,,25,26,23,,,,,,,32,44,22,,,22,,,,,,,,3,3,7,3,,,1,,,,0.31,10,10,14,9,
