Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"maven-maven-3.3.0/apache-maven/pom.xml",maven-maven-3.3.0/apache-maven/pom.xml,0,0,0,0,216,11,190,16,,,,,0,,,0,,0,,,,,,,,,,216,0,0,0,11,0,0,0,190,0,0,,,16,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.08,0,0,0,0
File,"maven-maven-3.3.0/apache-maven/src/conf/settings.xml",maven-maven-3.3.0/apache-maven/src/conf/settings.xml,0,0,0,0,257,18,15,224,,,,,0,,,0,,0,,,,,,,,,,257,0,0,0,18,0,0,0,15,0,0,,,224,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,14.93,0,0,0,0
File,"maven-maven-3.3.0/apache-maven/src/conf/toolchains.xml",maven-maven-3.3.0/apache-maven/src/conf/toolchains.xml,0,0,0,0,103,10,4,89,,,,,0,,,0,,0,,,,,,,,,,103,0,0,0,10,0,0,0,4,0,0,,,89,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,22.25,0,0,0,0
File,"maven-maven-3.3.0/apache-maven/src/main/assembly/bin.xml",maven-maven-3.3.0/apache-maven/src/main/assembly/bin.xml,0,0,0,0,94,3,74,17,,,,,0,,,0,,0,,,,,,,,,,94,0,0,0,3,0,0,0,74,0,0,,,17,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.23,0,0,0,0
File,"maven-maven-3.3.0/apache-maven/src/main/assembly/src.xml",maven-maven-3.3.0/apache-maven/src/main/assembly/src.xml,0,0,0,0,49,4,28,17,,,,,0,,,0,,0,,,,,,,,,,49,0,0,0,4,0,0,0,28,0,0,,,17,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.61,0,0,0,0
File,"maven-maven-3.3.0/apache-maven/src/site/site.xml",maven-maven-3.3.0/apache-maven/src/site/site.xml,0,0,0,0,29,4,9,16,,,,,0,,,0,,0,,,,,,,,,,29,0,0,0,4,0,0,0,9,0,0,,,16,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,1.78,0,0,0,0
File,"maven-maven-3.3.0/apache-maven/src/test/java/org/apache/maven/settings/GlobalSettingsTest.java",maven-maven-3.3.0/apache-maven/src/test/java/org/apache/maven/settings/GlobalSettingsTest.java,1,1,1,1,18,2,16,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,59,,,,9,,,,27,,,14,8,23,,,,,,,13,16,12,,,4,,,,,,,,1,1,1,1,,,1,,,,0.85,1,1,1,1
File,"maven-maven-3.3.0/build.xml",maven-maven-3.3.0/build.xml,0,0,0,0,307,35,231,41,,,,,0,,,0,,0,,,,,,,,,,307,0,0,0,35,0,0,0,231,0,0,,,41,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.18,0,0,0,0
File,"maven-maven-3.3.0/maven-aether-provider/pom.xml",maven-maven-3.3.0/maven-aether-provider/pom.xml,0,0,0,0,130,12,101,18,,,,,0,,,0,,0,,,,,,,,,,130,0,0,0,12,0,0,0,101,0,0,,,18,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.18,0,0,0,0
File,"maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/ArtifactDescriptorReaderDelegate.java",maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/ArtifactDescriptorReaderDelegate.java,3,3,4,1,24,3,20,0,,,,,1,0,0,4,,4,4,0,4,,0,3,0,1,,153,,,,21,,,,108,,,45,47,24,,,,,,,60,80,49,,,31,,,,,,,,7,7,7,1,,,2,,,,0.22,15,15,17,4
File,"maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/ArtifactDescriptorUtils.java",maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/ArtifactDescriptorUtils.java,2,2,2,1,13,1,12,0,,,,,1,3,0,3,,3,0,0,3,,0,0,0,3,,81,,,,11,,,,46,,,16,19,24,,,,,,,20,28,15,,,13,,,,,,,,4,4,4,1,,,2,,,,0.52,7,7,8,3
File,"maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReader.java",maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReader.java,2,2,2,1,17,1,16,0,,,,,1,0,0,18,,18,18,7,18,,2,6,0,10,,435,,,,49,,,,361,,,123,155,25,,,,,,,176,223,101,,,122,,,,,,,,16,16,16,12,,,4,,,,0.07,46,46,46,29
File,"maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultModelCache.java",maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultModelCache.java,1,1,2,1,8,0,7,0,,,,,2,1,0,7,,7,6,7,7,,0,1,0,6,,119,,,,21,,,,75,,,25,26,23,,,,,,,32,44,22,,,22,,,,,,,,3,3,7,3,,,1,,,,0.31,10,10,14,9
File,"maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultModelResolver.java",maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultModelResolver.java,1,1,2,1,15,1,13,0,,,,,2,1,0,9,,9,8,9,9,,0,2,0,7,,229,,,,39,,,,165,,,69,66,25,,,,,,,83,100,56,,,44,,,,,,,,4,4,6,4,,,2,,,,0.15,16,16,18,12
File,"maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultVersionRangeResolver.java",maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultVersionRangeResolver.java,2,2,2,1,18,1,16,0,,,,,1,0,1,12,,12,12,4,12,,2,3,0,7,,322,,,,46,,,,253,,,98,101,23,,,,,,,122,159,87,,,72,,,,,,,,8,8,8,1,,,4,,,,0.09,31,31,32,12
File,"maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultVersionResolver.java",maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultVersionResolver.java,3,3,4,1,20,1,18,0,,,,,4,0,4,23,,23,23,20,23,,2,8,0,13,,636,,,,93,,,,511,,,160,234,32,,,,,,,234,310,146,,,164,,,,,,,,20,20,25,3,,,6,,,,0.06,69,69,92,27
File,"maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/LocalSnapshotMetadata.java",maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/LocalSnapshotMetadata.java,1,1,1,1,8,0,7,0,,,,,1,2,0,13,,13,11,2,13,,0,2,1,10,,163,,,,29,,,,113,,,37,45,21,,,,,,,51,73,37,,,36,,,,,,,,6,6,6,1,,,4,,,,0.19,19,19,19,13
File,"maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/LocalSnapshotMetadataGenerator.java",maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/LocalSnapshotMetadataGenerator.java,1,1,1,1,8,0,7,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,82,,,,13,,,,48,,,21,13,21,,,,,,,23,32,21,,,11,,,,,,,,4,4,4,1,,,3,,,,0.44,7,7,7,4
File,"maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/MavenAetherModule.java",maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/MavenAetherModule.java,1,1,1,1,13,0,13,3,,,,,1,0,0,2,,2,2,0,2,,1,0,1,0,,76,,,,9,,,,49,,,27,17,24,,,,,,,27,30,20,,,10,,,,,,,,1,1,1,1,,,0,,,,0.49,2,2,2,2
File,"maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/MavenMetadata.java",maven-maven-3.3.0/maven-aether-provider/src/main/java/org/apache/maven/repository/internal/MavenMetadata.java,1,1,1,1,9,0,8,0,,,,,1,1,1,9,,10,9,3,10,,1,1,2,6,,150,,,,23,,,,106,,,41,33,21,,,,,,,46,59,35,,,24,,,,,,,,4,4,4,4,,,1,,,,0.20,13,13,13,12
