Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Static Function,"A_firstc_laa",neovim-0.2.0/src/nvim/arabic.c,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,0,,,,7,,,2,3,0,,,,0,0,2,2,0,2,4,1,,,0,3,,,2,2,4,1,1,,,,,0,,1,0,,0.00,,,,
Static Function,"A_is_a",neovim-0.2.0/src/nvim/arabic.c,,,,1,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,,,1,,,,44,,,1,38,0,,,,0,0,1,2,0,2,40,0,,,0,40,,,38,2,38,1,1,,,,,0,,1,0,,0.00,,,,
Static Function,"A_is_f",neovim-0.2.0/src/nvim/arabic.c,,,,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,46,,,,0,,,,46,,,1,40,0,,,,0,0,1,2,0,2,42,0,,,0,42,,,40,2,40,1,1,,,,,0,,1,0,,0.00,,,,
Static Function,"A_is_formb",neovim-0.2.0/src/nvim/arabic.c,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,0,,,,7,,,1,4,0,,,,0,0,1,1,0,1,1,0,,,0,1,,,1,1,6,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"A_is_harakat",neovim-0.2.0/src/nvim/arabic.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,0,,,,4,,,1,1,0,,,,0,0,1,1,0,1,1,0,,,0,1,,,1,1,2,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"A_is_iso",neovim-0.2.0/src/nvim/arabic.c,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,0,,,,6,,,1,3,0,,,,0,0,1,1,0,1,1,0,,,0,1,,,1,1,5,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"A_is_ok",neovim-0.2.0/src/nvim/arabic.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,0,,,,4,,,1,0,0,,,,0,0,1,1,0,1,0,0,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"A_is_s",neovim-0.2.0/src/nvim/arabic.c,,,,1,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,,,1,,,,43,,,1,37,0,,,,0,0,1,2,0,2,39,0,,,0,39,,,37,2,37,1,1,,,,,0,,1,0,,0.00,,,,
Static Function,"A_is_special",neovim-0.2.0/src/nvim/arabic.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,0,,,,4,,,1,1,0,,,,0,0,1,1,0,1,1,0,,,0,1,,,1,1,2,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"A_is_valid",neovim-0.2.0/src/nvim/arabic.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,0,,,,4,,,2,0,0,,,,0,0,1,1,0,1,1,1,,,0,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
