,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NumRevision,NumAdded,NumDeleted,NumAuthor,Label
0,freeswitch-1.5.0/build/print_git_revision.c,0.0,15.0,0.0,8.0,82.0,3.0,5.0,5.0,5.0,4.0,15.0,0.0,15.0,0.0,0.0,5.0,93.0,8.0,76.0,31.0,56.0,3.0,0.0,6.0,61.0,107.0,46.0,0.0,61.0,8.0,8.0,9.0,7.0,3.0,0.04,25.0,25.0,27.0,21.0,5,114,29,1,0
1,freeswitch-1.5.0/libs/apr-util/buckets/apr_brigade.c,3.0,9.0,3.0,101.0,498.0,114.0,2.0,2.0,2.0,1.0,14.0,3.0,9.0,3.0,0.0,2.0,702.0,101.0,484.0,5.0,6.0,114.0,1.0,14.0,261.0,11.0,7.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,0.24,3.0,3.0,3.0,2.0,1,605,0,1,0
2,freeswitch-1.5.0/libs/apr-util/buckets/apr_buckets.c,0.0,0.0,0.0,6.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,6.0,24.0,0.0,0.0,15.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,1,40,0,1,0
3,freeswitch-1.5.0/libs/apr-util/buckets/apr_buckets_alloc.c,3.0,11.0,0.0,26.0,139.0,19.0,1.0,1.0,1.0,1.0,14.0,3.0,6.0,0.0,0.0,1.0,184.0,25.0,98.0,14.0,3.0,18.0,27.0,19.0,66.0,16.0,14.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.18,1.0,1.0,1.0,1.0,1,158,0,1,0
4,freeswitch-1.5.0/libs/apr-util/buckets/apr_buckets_eos.c,0.0,7.0,0.0,7.0,32.0,15.0,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,0.0,1.0,54.0,7.0,31.0,2.0,1.0,15.0,0.0,1.0,14.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.48,1.0,1.0,1.0,1.0,1,48,0,1,0
5,freeswitch-1.5.0/libs/apr-util/buckets/apr_buckets_file.c,5.0,34.0,8.0,31.0,165.0,36.0,4.0,4.0,5.0,2.0,45.0,4.0,25.0,6.0,0.0,2.0,228.0,25.0,102.0,16.0,19.0,29.0,57.0,20.0,75.0,38.0,16.0,1.0,21.0,6.0,6.0,7.0,3.0,3.0,0.28,8.0,8.0,9.0,4.0,1,197,0,1,0
6,freeswitch-1.5.0/libs/apr-util/buckets/apr_buckets_flush.c,0.0,7.0,0.0,7.0,32.0,15.0,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,0.0,1.0,54.0,7.0,31.0,2.0,1.0,15.0,0.0,1.0,14.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.48,1.0,1.0,1.0,1.0,1,48,0,1,0
7,freeswitch-1.5.0/libs/apr-util/buckets/apr_buckets_heap.c,1.0,8.0,0.0,13.0,63.0,20.0,2.0,2.0,2.0,1.0,9.0,1.0,8.0,0.0,0.0,2.0,96.0,13.0,60.0,7.0,6.0,20.0,0.0,3.0,27.0,10.0,6.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,0.33,3.0,3.0,3.0,2.0,1,83,0,1,0
8,freeswitch-1.5.0/libs/apr-util/buckets/apr_buckets_mmap.c,0.0,0.0,0.0,26.0,89.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,2.0,0.0,0.0,0.0,15.0,124.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,119,0,1,0
9,freeswitch-1.5.0/libs/apr-util/buckets/apr_buckets_pipe.c,5.0,40.0,15.0,12.0,66.0,43.0,8.0,8.0,9.0,1.0,58.0,5.0,40.0,15.0,0.0,1.0,119.0,12.0,65.0,16.0,18.0,43.0,0.0,1.0,35.0,41.0,17.0,1.0,23.0,8.0,8.0,9.0,1.0,3.0,0.66,8.0,8.0,9.0,1.0,1,108,0,1,0
