,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NumRevision,NumAdded,NumDeleted,NumAuthor,Label
0,git-2.11.0/abspath.c,git-2.11.0/abspath.c,2.0,20.0,1.0,19.0,122.0,39.0,4.0,4.0,5.0,3.0,23.0,2.0,18.0,1.0,0.0,6.0,180.0,19.0,110.0,14.0,130.0,38.0,8.0,5.0,57.0,84.0,25.0,0.0,59.0,20.0,20.0,23.0,16.0,4.0,0.35,26.0,26.0,30.0,21.0,30,304,143,17,1
1,git-2.11.0/advice.c,git-2.11.0/advice.c,1.0,12.0,1.0,16.0,111.0,5.0,3.0,3.0,3.0,1.0,14.0,1.0,12.0,1.0,0.0,6.0,132.0,16.0,110.0,59.0,87.0,5.0,0.0,1.0,54.0,76.0,36.0,0.0,40.0,7.0,7.0,7.0,4.0,2.0,0.05,18.0,18.0,18.0,9.0,37,151,35,12,1
2,git-2.11.0/alias.c,git-2.11.0/alias.c,2.0,19.0,1.0,10.0,65.0,2.0,6.0,6.0,8.0,3.0,22.0,2.0,19.0,1.0,0.0,3.0,77.0,10.0,62.0,11.0,41.0,2.0,0.0,3.0,37.0,63.0,13.0,2.0,48.0,15.0,15.0,20.0,8.0,5.0,0.03,18.0,18.0,23.0,10.0,13,104,37,8,1
3,git-2.11.0/alloc.c,git-2.11.0/alloc.c,0.0,7.0,0.0,15.0,89.0,14.0,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,0.0,9.0,115.0,15.0,80.0,32.0,64.0,14.0,0.0,9.0,48.0,58.0,32.0,0.0,26.0,2.0,2.0,2.0,1.0,1.0,0.17,10.0,10.0,10.0,9.0,13,157,57,8,0
4,git-2.11.0/apply.c,git-2.11.0/apply.c,3.0,25.0,4.0,543.0,3675.0,789.0,6.0,6.0,7.0,3.0,31.0,3.0,25.0,4.0,0.0,143.0,4988.0,543.0,3646.0,723.0,4734.0,789.0,0.0,29.0,1854.0,2732.0,639.0,24.0,2069.0,41.0,36.0,62.0,24.0,5.0,0.22,817.0,797.0,1056.0,567.0,113,7366,2921,23,1
5,git-2.11.0/archive-tar.c,git-2.11.0/archive-tar.c,2.0,19.0,0.0,59.0,397.0,35.0,4.0,4.0,5.0,1.0,20.0,2.0,19.0,0.0,0.0,20.0,490.0,59.0,383.0,90.0,401.0,35.0,2.0,14.0,221.0,297.0,77.0,3.0,217.0,16.0,16.0,24.0,7.0,4.0,0.09,77.0,77.0,90.0,39.0,54,724,293,15,1
6,git-2.11.0/archive-zip.c,git-2.11.0/archive-zip.c,3.0,22.0,0.0,80.0,496.0,10.0,3.0,3.0,4.0,2.0,25.0,3.0,22.0,0.0,0.0,17.0,585.0,80.0,477.0,155.0,522.0,10.0,0.0,19.0,334.0,386.0,141.0,9.0,236.0,32.0,32.0,44.0,17.0,3.0,0.02,59.0,59.0,71.0,36.0,50,735,230,14,1
7,git-2.11.0/archive.c,git-2.11.0/archive.c,2.0,22.0,1.0,71.0,465.0,21.0,4.0,4.0,5.0,2.0,26.0,2.0,22.0,1.0,0.0,19.0,556.0,71.0,454.0,117.0,439.0,21.0,0.0,11.0,242.0,319.0,105.0,3.0,211.0,13.0,13.0,17.0,8.0,3.0,0.05,80.0,80.0,96.0,53.0,74,769,284,26,0
8,git-2.11.0/argv-array.c,git-2.11.0/argv-array.c,0.0,8.0,0.0,14.0,73.0,0.0,2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,0.0,9.0,87.0,14.0,70.0,17.0,32.0,0.0,0.0,3.0,37.0,61.0,19.0,1.0,41.0,5.0,5.0,5.0,1.0,3.0,0.0,19.0,19.0,19.0,9.0,10,94,21,3,0
9,git-2.11.0/attr.c,git-2.11.0/attr.c,2.0,20.0,2.0,100.0,626.0,102.0,5.0,5.0,6.0,2.0,24.0,2.0,20.0,2.0,0.0,27.0,829.0,98.0,588.0,154.0,337.0,102.0,20.0,22.0,362.0,498.0,159.0,7.0,332.0,13.0,13.0,15.0,9.0,3.0,0.17,126.0,126.0,164.0,58.0,110,1278,549,31,0
