,Name,NumRevision,NumAdded,NumDeleted,NumAuthor,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountClassCoupledamin,CountDeclClassMethodamin,CountDeclClassVariableamin,CountDeclMethodAllamin,CountDeclMethodPrivateamin,CountDeclMethodPublicamin,MaxInheritanceTreeamin,PercentLackOfCohesionamin,CountDeclInstanceMethodamin,CountDeclInstanceVariableamin,CountClassCoupledamax,CountDeclClassMethodamax,CountDeclClassVariableamax,CountDeclMethodAllamax,CountDeclMethodPrivateamax,CountDeclMethodPublicamax,MaxInheritanceTreeamax,PercentLackOfCohesionamax,CountDeclInstanceMethodamax,CountDeclInstanceVariableamax,CountClassCoupledaverage,CountDeclClassMethodaverage,CountDeclClassVariableaverage,CountDeclMethodAllaverage,CountDeclMethodPrivateaverage,CountDeclMethodPublicaverage,MaxInheritanceTreeaverage,PercentLackOfCohesionaverage,CountDeclInstanceMethodaverage,CountDeclInstanceVariableaverage,Label
0,maven-maven-3.0/maven-settings-builder/src/test/java/org/apache/maven/settings/validation/DefaultSettingsValidatorTest.java,2,136,12,1,1.0,1.0,1.0,1.0,12.0,1.0,11.0,0.0,2.0,0.0,0.0,7.0,7.0,7.0,2.0,7.0,0.0,1.0,2.0,4.0,148,24,103,38.0,59.0,24,70.0,79,32,47,1.0,1.0,1.0,1.0,0,0.23,7,7,7,7,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,6.0,1.0,3.0,2.0,16.0,6.0,1.0,1.5,0.0,0.0,3.5,0.5,2.0,1.5,8.0,3.5,1.0,0
1,maven-maven-3.0/maven-settings-builder/src/test/java/org/apache/maven/settings/building/DefaultSettingsBuilderFactoryTest.java,1,44,0,1,1.0,1.0,1.0,1.0,9.0,1.0,8.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,53,9,23,11.0,9.0,21,12.0,15,9,6,1.0,1.0,1.0,1.0,0,0.91,2,2,2,2,4.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0
2,maven-maven-3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/crypto/DefaultSettingsDecryptionRequest.java,1,97,0,1,1.0,1.0,1.0,1.0,8.0,0.0,5.0,2.0,1.0,0.0,0.0,8.0,8.0,8.0,2.0,8.0,0.0,0.0,0.0,8.0,116,19,55,19.0,14.0,42,21.0,32,18,14,2.0,2.0,2.0,1.0,1,0.76,10,10,10,8,0.0,0.0,0.0,8.0,0.0,8.0,1.0,62.0,8.0,2.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,62.0,8.0,2.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,62.0,8.0,2.0,0
3,maven-maven-3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/crypto/SettingsDecrypter.java,1,34,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,38,4,5,3.0,0.0,29,2.0,3,3,0,0.0,0.0,0.0,0.0,0,5.8,0,0,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
4,maven-maven-3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/crypto/SettingsDecryptionRequest.java,1,56,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,65,9,11,9.0,0.0,45,8.0,9,9,0,0.0,0.0,0.0,0.0,0,4.09,0,0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0
5,maven-maven-3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/crypto/DefaultSettingsDecryptionResult.java,1,62,0,1,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,3.0,6.0,0.0,0.0,0.0,6.0,76,14,39,17.0,8.0,23,17.0,24,16,8,4.0,4.0,4.0,1.0,0,0.59,11,11,11,6,1.0,0.0,0.0,6.0,0.0,6.0,1.0,55.0,6.0,3.0,1.0,0.0,0.0,6.0,0.0,6.0,1.0,55.0,6.0,3.0,1.0,0.0,0.0,6.0,0.0,6.0,1.0,55.0,6.0,3.0,0
6,maven-maven-3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/crypto/SettingsDecryptionResult.java,1,61,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,71,10,13,11.0,0.0,48,10.0,11,11,0,0.0,0.0,0.0,0.0,0,3.69,0,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0
7,maven-maven-3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/crypto/DefaultSettingsDecrypter.java,1,91,0,1,4.0,4.0,4.0,1.0,29.0,5.0,24.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,110,18,69,23.0,26.0,23,28.0,38,21,17,6.0,6.0,6.0,1.0,2,0.33,8,8,8,2,6.0,0.0,0.0,2.0,1.0,1.0,1.0,50.0,2.0,1.0,6.0,0.0,0.0,2.0,1.0,1.0,1.0,50.0,2.0,1.0,6.0,0.0,0.0,2.0,1.0,1.0,1.0,50.0,2.0,1.0,0
8,maven-maven-3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/merge/MavenSettingsMerger.java,1,119,0,1,5.0,5.0,5.0,1.0,33.0,5.0,24.0,4.0,1.0,2.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,142,23,83,19.0,36.0,36,31.0,52,22,30,11.0,11.0,12.0,1.0,3,0.43,16,16,17,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.0,0.3333333333333333,0.0,0
9,maven-maven-3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/io/SettingsWriter.java,1,66,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,74,8,16,14.0,0.0,50,10.0,11,11,0,0.0,0.0,0.0,0.0,0,3.12,0,0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0
10,maven-maven-3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/io/SettingsReader.java,1,73,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,82,9,17,15.0,1.0,56,11.0,12,12,0,0.0,0.0,0.0,0.0,0,3.29,0,0,0,0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0
11,maven-maven-3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/io/SettingsParseException.java,1,83,0,1,1.0,1.0,1.0,1.0,11.0,0.0,5.0,6.0,1.0,0.0,0.0,4.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,4.0,93,10,29,10.0,9.0,54,13.0,18,9,9,1.0,1.0,1.0,1.0,0,1.86,4,4,4,4,0.0,0.0,0.0,4.0,0.0,4.0,2.0,25.0,4.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,25.0,4.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,25.0,4.0,2.0,0
12,maven-maven-3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/io/DefaultSettingsReader.java,1,97,0,1,2.0,2.0,2.0,1.0,15.0,1.0,14.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,1.0,0.0,3.0,110,13,74,26.0,24.0,23,27.0,37,21,16,3.0,3.0,3.0,1.0,1,0.31,10,10,11,4,1.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,4.0,0.0,0
13,maven-maven-3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/io/DefaultSettingsWriter.java,1,100,0,1,3.0,3.0,3.0,1.0,22.0,2.0,20.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,115,15,77,23.0,26.0,23,27.0,40,18,22,4.0,4.0,5.0,1.0,2,0.3,10,10,11,3,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,3.0,0.0,0
14,maven-maven-3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/validation/DefaultSettingsValidator.java,3,228,33,1,4.0,4.0,4.0,1.0,29.0,4.0,22.0,2.0,1.0,0.0,3.0,6.0,6.0,6.0,0.0,6.0,0.0,5.0,0.0,1.0,237,42,156,34.0,74.0,39,57.0,89,34,55,13.0,13.0,13.0,4.0,3,0.25,28,28,28,11,2.0,0.0,3.0,6.0,5.0,1.0,1.0,0.0,6.0,0.0,2.0,0.0,3.0,6.0,5.0,1.0,1.0,0.0,6.0,0.0,2.0,0.0,3.0,6.0,5.0,1.0,1.0,0.0,6.0,0.0,0
15,maven-maven-3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/validation/SettingsValidator.java,1,36,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,41,5,7,5.0,0.0,29,4.0,5,5,0,0.0,0.0,0.0,0.0,0,4.14,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
16,maven-maven-3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/building/DefaultSettingsBuilderFactory.java,1,61,0,1,1.0,1.0,1.0,1.0,6.0,0.0,5.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,3.0,1.0,71,10,30,13.0,8.0,31,15.0,20,13,7,1.0,1.0,1.0,1.0,0,1.03,4,4,4,4,7.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,4.0,0.0,7.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,4.0,0.0,7.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,4.0,0.0,0
