,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NumRevision,NumAdded,NumDeleted,NumAuthor,Label
0,mpv-0.3.0/TOOLS/vf_dlopen/filterutils.c,mpv-0.3.0/TOOLS/vf_dlopen/filterutils.c,0.0,13.0,0.0,4.0,16.0,20.0,2.0,2.0,2.0,1.0,13.0,0.0,13.0,0.0,0.0,1.0,40.0,4.0,13.0,9.0,4.0,20.0,0.0,3.0,6.0,10.0,4.0,0.0,6.0,2.0,2.0,2.0,1.0,1.0,1.54,2.0,2.0,2.0,1.0,2,36,0,1,0
1,mpv-0.3.0/TOOLS/vf_dlopen/framestep.c,mpv-0.3.0/TOOLS/vf_dlopen/framestep.c,3.0,15.0,1.0,16.0,55.0,33.0,4.0,4.0,4.0,2.0,18.0,3.0,15.0,1.0,0.0,3.0,104.0,16.0,48.0,14.0,34.0,33.0,0.0,7.0,28.0,44.0,16.0,0.0,28.0,5.0,5.0,6.0,4.0,2.0,0.69,11.0,11.0,12.0,8.0,4,99,11,1,1
2,mpv-0.3.0/TOOLS/vf_dlopen/ildetect.c,mpv-0.3.0/TOOLS/vf_dlopen/ildetect.c,5.0,38.0,4.0,35.0,216.0,58.0,10.0,9.0,13.0,3.0,44.0,5.0,37.0,4.0,0.0,5.0,296.0,35.0,208.0,77.0,147.0,58.0,0.0,8.0,131.0,175.0,70.0,0.0,105.0,14.0,14.0,25.0,9.0,5.0,0.28,50.0,47.0,67.0,19.0,2,262,1,1,1
3,mpv-0.3.0/TOOLS/vf_dlopen/rectangle.c,mpv-0.3.0/TOOLS/vf_dlopen/rectangle.c,3.0,71.0,8.0,21.0,309.0,58.0,29.0,20.0,38.0,2.0,77.0,3.0,71.0,8.0,0.0,4.0,368.0,21.0,297.0,47.0,177.0,58.0,0.0,12.0,223.0,390.0,73.0,0.0,317.0,96.0,61.0,134.0,5.0,5.0,0.2,114.0,79.0,153.0,10.0,2,347,0,1,1
4,mpv-0.3.0/TOOLS/vf_dlopen/showqscale.c,mpv-0.3.0/TOOLS/vf_dlopen/showqscale.c,4.0,34.0,3.0,13.0,75.0,33.0,8.0,8.0,9.0,3.0,40.0,4.0,29.0,3.0,0.0,2.0,120.0,13.0,58.0,12.0,44.0,32.0,7.0,11.0,42.0,59.0,12.0,0.0,47.0,13.0,13.0,15.0,3.0,4.0,0.55,16.0,16.0,18.0,6.0,2,107,0,1,1
5,mpv-0.3.0/TOOLS/vf_dlopen/telecine.c,mpv-0.3.0/TOOLS/vf_dlopen/telecine.c,5.0,41.0,4.0,30.0,183.0,58.0,9.0,9.0,11.0,2.0,49.0,5.0,41.0,4.0,0.0,4.0,270.0,30.0,176.0,37.0,129.0,58.0,0.0,7.0,111.0,145.0,38.0,0.0,107.0,22.0,22.0,25.0,8.0,3.0,0.33,36.0,36.0,43.0,11.0,3,246,6,1,1
6,mpv-0.3.0/TOOLS/vf_dlopen/tile.c,mpv-0.3.0/TOOLS/vf_dlopen/tile.c,4.0,26.0,1.0,24.0,120.0,34.0,5.0,5.0,6.0,3.0,31.0,4.0,25.0,1.0,0.0,4.0,178.0,24.0,109.0,24.0,64.0,34.0,0.0,11.0,65.0,94.0,27.0,0.0,67.0,8.0,8.0,9.0,5.0,3.0,0.31,19.0,19.0,23.0,12.0,2,154,0,1,1
7,mpv-0.3.0/audio/audio.c,mpv-0.3.0/audio/audio.c,0.0,8.0,0.0,26.0,161.0,46.0,2.0,2.0,3.0,1.0,8.0,0.0,8.0,0.0,0.0,20.0,232.0,26.0,156.0,41.0,146.0,46.0,0.0,5.0,80.0,130.0,43.0,0.0,87.0,8.0,8.0,8.0,4.0,3.0,0.29,40.0,40.0,52.0,25.0,13,229,23,2,0
8,mpv-0.3.0/audio/audio_buffer.c,mpv-0.3.0/audio/audio_buffer.c,0.0,6.0,0.0,19.0,100.0,33.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,0.0,15.0,152.0,19.0,93.0,24.0,42.0,33.0,0.0,7.0,41.0,57.0,22.0,0.0,35.0,1.0,1.0,2.0,1.0,0.0,0.35,15.0,15.0,17.0,15.0,2,134,1,1,0
9,mpv-0.3.0/audio/chmap.c,mpv-0.3.0/audio/chmap.c,0.0,12.0,0.0,38.0,378.0,88.0,4.0,4.0,4.0,2.0,13.0,0.0,12.0,0.0,0.0,24.0,489.0,38.0,374.0,431.0,440.0,88.0,0.0,4.0,160.0,272.0,79.0,0.0,193.0,15.0,15.0,18.0,12.0,4.0,0.24,88.0,88.0,101.0,62.0,7,479,28,2,1
10,mpv-0.3.0/audio/chmap_sel.c,mpv-0.3.0/audio/chmap_sel.c,0.0,11.0,0.0,18.0,151.0,42.0,3.0,3.0,4.0,2.0,11.0,0.0,11.0,0.0,0.0,13.0,211.0,18.0,147.0,37.0,206.0,42.0,0.0,4.0,70.0,120.0,32.0,0.0,88.0,9.0,9.0,10.0,7.0,4.0,0.29,43.0,43.0,50.0,34.0,2,193,0,1,0
11,mpv-0.3.0/audio/decode/ad_lavc.c,mpv-0.3.0/audio/decode/ad_lavc.c,4.0,27.0,2.0,60.0,323.0,43.0,6.0,6.0,7.0,3.0,33.0,4.0,27.0,2.0,0.0,9.0,421.0,60.0,304.0,158.0,389.0,43.0,0.0,19.0,158.0,191.0,73.0,1.0,117.0,14.0,14.0,18.0,8.0,3.0,0.14,53.0,53.0,62.0,27.0,48,792,431,3,0
12,mpv-0.3.0/audio/decode/ad_mpg123.c,mpv-0.3.0/audio/decode/ad_mpg123.c,3.0,20.0,4.0,54.0,247.0,80.0,4.0,4.0,4.0,3.0,27.0,3.0,20.0,4.0,0.0,11.0,375.0,54.0,237.0,105.0,263.0,80.0,1.0,10.0,124.0,171.0,65.0,4.0,102.0,11.0,11.0,11.0,11.0,3.0,0.34,45.0,45.0,45.0,35.0,21,766,445,3,0
13,mpv-0.3.0/audio/decode/ad_spdif.c,mpv-0.3.0/audio/decode/ad_spdif.c,4.0,28.0,0.0,35.0,202.0,21.0,3.0,3.0,3.0,2.0,31.0,4.0,27.0,0.0,0.0,6.0,257.0,35.0,188.0,87.0,228.0,21.0,1.0,13.0,119.0,97.0,49.0,0.0,48.0,7.0,7.0,7.0,7.0,1.0,0.11,18.0,18.0,18.0,15.0,25,544,322,4,0
14,mpv-0.3.0/audio/decode/dec_audio.c,mpv-0.3.0/audio/decode/dec_audio.c,2.0,18.0,3.0,52.0,250.0,61.0,4.0,4.0,4.0,2.0,23.0,2.0,18.0,3.0,0.0,12.0,359.0,52.0,226.0,284.0,286.0,61.0,1.0,23.0,128.0,176.0,44.0,0.0,132.0,13.0,13.0,15.0,6.0,3.0,0.27,48.0,48.0,51.0,27.0,45,1036,729,3,0
15,mpv-0.3.0/audio/filter/af.c,mpv-0.3.0/audio/filter/af.c,1.0,18.0,1.0,64.0,588.0,107.0,4.0,4.0,4.0,2.0,20.0,1.0,17.0,1.0,0.0,29.0,755.0,64.0,560.0,425.0,674.0,107.0,4.0,24.0,292.0,425.0,136.0,0.0,289.0,17.0,17.0,21.0,9.0,5.0,0.19,115.0,113.0,128.0,81.0,54,1915,1224,3,1
16,mpv-0.3.0/audio/filter/af_bs2b.c,mpv-0.3.0/audio/filter/af_bs2b.c,11.0,112.0,10.0,18.0,152.0,39.0,2.0,1.0,2.0,1.0,132.0,11.0,111.0,10.0,0.0,20.0,204.0,18.0,142.0,20.0,67.0,39.0,0.0,10.0,66.0,140.0,53.0,0.0,87.0,20.0,5.0,20.0,3.0,2.0,0.27,40.0,25.0,40.0,22.0,14,331,143,2,0
17,mpv-0.3.0/audio/filter/af_center.c,mpv-0.3.0/audio/filter/af_center.c,2.0,11.0,3.0,12.0,54.0,40.0,2.0,2.0,2.0,1.0,14.0,2.0,11.0,3.0,0.0,3.0,99.0,12.0,48.0,26.0,31.0,40.0,0.0,6.0,24.0,32.0,15.0,0.0,17.0,4.0,4.0,4.0,3.0,2.0,0.83,7.0,7.0,7.0,5.0,13,145,58,1,0
18,mpv-0.3.0/audio/filter/af_channels.c,mpv-0.3.0/audio/filter/af_channels.c,2.0,34.0,2.0,22.0,194.0,37.0,6.0,6.0,7.0,2.0,37.0,2.0,34.0,2.0,0.0,5.0,251.0,22.0,185.0,48.0,230.0,37.0,0.0,9.0,113.0,149.0,38.0,1.0,110.0,11.0,9.0,11.0,4.0,4.0,0.2,32.0,28.0,36.0,14.0,15,374,145,1,0
19,mpv-0.3.0/audio/filter/af_convert24.c,mpv-0.3.0/audio/filter/af_convert24.c,2.0,17.0,0.0,16.0,83.0,17.0,3.0,3.0,5.0,2.0,19.0,2.0,17.0,0.0,0.0,4.0,116.0,16.0,74.0,22.0,52.0,17.0,1.0,9.0,38.0,55.0,18.0,0.0,37.0,7.0,6.0,8.0,6.0,2.0,0.23,13.0,12.0,20.0,9.0,9,141,41,1,0
20,mpv-0.3.0/audio/filter/af_convertsignendian.c,mpv-0.3.0/audio/filter/af_convertsignendian.c,1.0,15.0,0.0,15.0,99.0,17.0,4.0,4.0,5.0,2.0,16.0,1.0,15.0,0.0,0.0,6.0,131.0,15.0,94.0,25.0,62.0,17.0,0.0,5.0,47.0,76.0,23.0,0.0,53.0,7.0,5.0,7.0,4.0,2.0,0.18,24.0,21.0,27.0,12.0,7,131,15,1,0
21,mpv-0.3.0/audio/filter/af_delay.c,mpv-0.3.0/audio/filter/af_delay.c,2.0,29.0,2.0,16.0,144.0,38.0,6.0,6.0,7.0,2.0,31.0,2.0,29.0,2.0,0.0,4.0,190.0,16.0,135.0,48.0,144.0,38.0,0.0,9.0,93.0,122.0,39.0,0.0,83.0,10.0,10.0,12.0,4.0,3.0,0.28,24.0,22.0,29.0,10.0,12,252,78,1,0
22,mpv-0.3.0/audio/filter/af_drc.c,mpv-0.3.0/audio/filter/af_drc.c,4.0,25.0,5.0,49.0,216.0,75.0,6.0,6.0,6.0,1.0,32.0,4.0,25.0,5.0,0.0,7.0,327.0,49.0,197.0,58.0,259.0,75.0,0.0,19.0,123.0,169.0,54.0,0.0,115.0,10.0,10.0,10.0,3.0,2.0,0.38,43.0,43.0,43.0,9.0,11,351,73,2,0
23,mpv-0.3.0/audio/filter/af_dummy.c,mpv-0.3.0/audio/filter/af_dummy.c,0.0,7.0,0.0,6.0,29.0,26.0,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,0.0,3.0,61.0,6.0,25.0,8.0,12.0,26.0,0.0,4.0,10.0,15.0,4.0,1.0,10.0,2.0,2.0,2.0,1.0,1.0,1.04,4.0,4.0,4.0,3.0,8,81,26,1,0
24,mpv-0.3.0/audio/filter/af_equalizer.c,mpv-0.3.0/audio/filter/af_equalizer.c,4.0,22.0,5.0,30.0,124.0,74.0,5.0,5.0,5.0,1.0,29.0,4.0,22.0,5.0,0.0,4.0,209.0,30.0,109.0,50.0,203.0,74.0,0.0,15.0,70.0,97.0,40.0,1.0,56.0,10.0,10.0,10.0,3.0,4.0,0.68,20.0,20.0,20.0,6.0,13,249,70,1,0
25,mpv-0.3.0/audio/filter/af_export.c,mpv-0.3.0/audio/filter/af_export.c,5.0,25.0,7.0,33.0,142.0,81.0,6.0,6.0,6.0,2.0,34.0,5.0,25.0,7.0,0.0,4.0,235.0,33.0,122.0,50.0,169.0,81.0,0.0,20.0,74.0,105.0,40.0,0.0,65.0,11.0,11.0,11.0,4.0,3.0,0.66,22.0,22.0,23.0,10.0,20,289,87,3,0
26,mpv-0.3.0/audio/filter/af_extrastereo.c,mpv-0.3.0/audio/filter/af_extrastereo.c,3.0,15.0,2.0,21.0,86.0,29.0,3.0,3.0,3.0,1.0,18.0,3.0,15.0,2.0,0.0,4.0,131.0,21.0,77.0,31.0,47.0,29.0,0.0,9.0,43.0,58.0,24.0,0.0,34.0,6.0,6.0,6.0,3.0,2.0,0.38,13.0,13.0,13.0,6.0,12,171,61,1,0
27,mpv-0.3.0/audio/filter/af_format.c,mpv-0.3.0/audio/filter/af_format.c,3.0,11.0,0.0,27.0,89.0,16.0,3.0,3.0,3.0,1.0,14.0,3.0,11.0,0.0,0.0,5.0,132.0,27.0,83.0,36.0,49.0,16.0,0.0,6.0,38.0,53.0,21.0,0.0,32.0,5.0,5.0,6.0,4.0,2.0,0.19,15.0,15.0,16.0,8.0,19,665,560,2,0
28,mpv-0.3.0/audio/filter/af_hrtf.c,mpv-0.3.0/audio/filter/af_hrtf.c,4.0,40.0,9.0,56.0,436.0,156.0,6.0,5.0,6.0,2.0,52.0,4.0,38.0,9.0,0.0,10.0,643.0,55.0,410.0,104.0,586.0,156.0,14.0,13.0,243.0,346.0,112.0,0.0,234.0,17.0,13.0,17.0,13.0,3.0,0.38,62.0,52.0,62.0,29.0,12,672,88,1,0
29,mpv-0.3.0/audio/filter/af_karaoke.c,mpv-0.3.0/audio/filter/af_karaoke.c,1.0,10.0,3.0,10.0,39.0,36.0,2.0,2.0,2.0,1.0,12.0,1.0,10.0,3.0,0.0,3.0,81.0,10.0,35.0,14.0,22.0,36.0,0.0,4.0,18.0,24.0,9.0,0.0,15.0,2.0,2.0,2.0,1.0,1.0,1.03,5.0,5.0,5.0,3.0,8,97,26,1,0
30,mpv-0.3.0/audio/filter/af_ladspa.c,mpv-0.3.0/audio/filter/af_ladspa.c,14.0,53.0,9.0,167.0,485.0,219.0,12.0,12.0,13.0,6.0,74.0,14.0,52.0,9.0,0.0,8.0,842.0,167.0,468.0,111.0,185.0,216.0,7.0,13.0,287.0,380.0,95.0,2.0,283.0,24.0,24.0,24.0,12.0,5.0,0.46,95.0,95.0,101.0,48.0,13,902,227,2,0
31,mpv-0.3.0/audio/filter/af_lavcac3enc.c,mpv-0.3.0/audio/filter/af_lavcac3enc.c,10.0,49.0,2.0,51.0,247.0,33.0,8.0,8.0,10.0,5.0,59.0,10.0,49.0,2.0,0.0,4.0,324.0,51.0,229.0,68.0,254.0,33.0,0.0,18.0,137.0,162.0,64.0,0.0,98.0,11.0,11.0,14.0,7.0,3.0,0.14,32.0,32.0,38.0,22.0,21,596,323,2,0
32,mpv-0.3.0/audio/filter/af_lavfi.c,mpv-0.3.0/audio/filter/af_lavfi.c,7.0,28.0,1.0,61.0,219.0,27.0,5.0,5.0,5.0,3.0,36.0,7.0,28.0,1.0,0.0,6.0,306.0,61.0,191.0,232.0,195.0,27.0,2.0,27.0,117.0,120.0,55.0,3.0,62.0,11.0,11.0,11.0,11.0,2.0,0.14,27.0,27.0,28.0,22.0,16,322,77,2,1
33,mpv-0.3.0/audio/filter/af_lavrresample.c,mpv-0.3.0/audio/filter/af_lavrresample.c,3.0,19.0,1.0,64.0,340.0,32.0,3.0,3.0,5.0,2.0,22.0,3.0,17.0,0.0,0.0,13.0,432.0,64.0,265.0,95.0,150.0,29.0,41.0,50.0,146.0,188.0,71.0,0.0,117.0,14.0,10.0,21.0,8.0,2.0,0.11,41.0,37.0,61.0,27.0,32,646,278,2,0
34,mpv-0.3.0/audio/filter/af_pan.c,mpv-0.3.0/audio/filter/af_pan.c,3.0,29.0,4.0,19.0,139.0,42.0,7.0,6.0,8.0,4.0,33.0,3.0,29.0,4.0,0.0,4.0,190.0,19.0,131.0,43.0,179.0,42.0,0.0,8.0,82.0,111.0,35.0,0.0,76.0,19.0,15.0,21.0,12.0,3.0,0.32,29.0,25.0,31.0,18.0,15,270,99,1,1
