,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NumRevision,NumAdded,NumDeleted,NumAuthor,Label
0,neovim-0.2.0/src/coverity-model.c,neovim-0.2.0/src/coverity-model.c,0.0,5.0,0.0,9.0,34.0,27.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,0.0,6.0,70,9,34,14.0,6.0,27,0.0,0.0,13.0,22,16,0.0,6,2.0,2.0,2.0,1.0,1,0.79,7.0,7.0,7.0,6.0,3,97,36,2,1
1,neovim-0.2.0/src/nvim/api/buffer.c,neovim-0.2.0/src/nvim/api/buffer.c,0.0,0.0,0.0,115.0,476.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858,115,453,0.0,0.0,270,1.0,23.0,210.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.6,0.0,0.0,0.0,0.0,78,1284,541,21,1
2,neovim-0.2.0/src/nvim/api/private/dispatch.c,neovim-0.2.0/src/nvim/api/private/dispatch.c,1.0,8.0,0.0,9.0,37.0,2.0,2.0,2.0,2.0,1.0,9.0,1.0,8.0,0.0,0.0,2.0,48,9,17,7.0,39.0,2,1.0,20.0,6.0,8,5,0.0,3,2.0,2.0,2.0,1.0,1,0.12,3.0,3.0,3.0,2.0,2,39,0,2,0
3,neovim-0.2.0/src/nvim/api/private/handle.c,neovim-0.2.0/src/nvim/api/private/handle.c,1.0,5.0,0.0,6.0,29.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,0.0,10.0,37,6,22,2.0,1.0,3,0.0,7.0,7.0,25,13,0.0,12,1.0,1.0,1.0,1.0,0,0.14,10.0,10.0,10.0,10.0,10,67,33,5,0
4,neovim-0.2.0/src/nvim/api/private/helpers.c,neovim-0.2.0/src/nvim/api/private/helpers.c,3.0,20.0,1.0,151.0,767.0,85.0,4.0,3.0,4.0,2.0,23.0,3.0,20.0,1.0,0.0,33.0,1002,151,676,405.0,685.0,85,2.0,91.0,303.0,380,146,4.0,230,14.0,14.0,14.0,12.0,3,0.13,121.0,95.0,122.0,68.0,77,1459,608,21,1
5,neovim-0.2.0/src/nvim/api/tabpage.c,neovim-0.2.0/src/nvim/api/tabpage.c,0.0,0.0,0.0,31.0,110.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,31,101,0.0,0.0,59,0.0,9.0,37.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.58,0.0,0.0,0.0,0.0,29,286,117,10,1
6,neovim-0.2.0/src/nvim/api/ui.c,neovim-0.2.0/src/nvim/api/ui.c,0.0,0.0,0.0,66.0,383.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459,66,362,4.0,1.0,10,1.0,21.0,190.0,5,5,0.0,0,0.0,0.0,0.0,0.0,0,0.03,0.0,0.0,0.0,0.0,20,519,126,7,0
7,neovim-0.2.0/src/nvim/api/vim.c,neovim-0.2.0/src/nvim/api/vim.c,0.0,0.0,0.0,105.0,535.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,856,105,501,0.0,0.0,218,1.0,34.0,221.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.44,0.0,0.0,0.0,0.0,96,1341,589,24,0
8,neovim-0.2.0/src/nvim/api/window.c,neovim-0.2.0/src/nvim/api/window.c,0.0,0.0,0.0,65.0,219.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394,65,207,0.0,0.0,110,0.0,12.0,90.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.53,0.0,0.0,0.0,0.0,40,526,197,12,0
9,neovim-0.2.0/src/nvim/arabic.c,neovim-0.2.0/src/nvim/arabic.c,11.0,42.0,3.0,269.0,1137.0,119.0,16.0,2.0,18.0,1.0,54.0,11.0,42.0,3.0,0.0,22.0,1493,269,924,42.0,1422.0,119,1.0,213.0,469.0,851,42,0.0,809,40.0,12.0,40.0,3.0,2,0.13,361.0,49.0,387.0,24.0,11,1379,155,9,1
10,neovim-0.2.0/src/nvim/buffer.c,neovim-0.2.0/src/nvim/buffer.c,5.0,40.0,10.0,553.0,3710.0,1399.0,10.0,9.0,13.0,4.0,53.0,5.0,40.0,10.0,0.0,90.0,5457,551,3609,4643.0,5417.0,1392,35.0,74.0,1844.0,2936,666,26.0,2244,187.0,152.0,230.0,66.0,8,0.39,873.0,831.0,1146.0,392.0,182,6762,1858,50,0
11,neovim-0.2.0/src/nvim/charset.c,neovim-0.2.0/src/nvim/charset.c,2.0,19.0,2.0,186.0,1126.0,542.0,4.0,4.0,7.0,1.0,23.0,2.0,18.0,2.0,0.0,58.0,1828,185,1070,282.0,1346.0,542,11.0,47.0,447.0,746,205,10.0,531,38.0,38.0,56.0,19.0,7,0.51,258.0,258.0,381.0,111.0,67,2419,777,25,0
12,neovim-0.2.0/src/nvim/cursor.c,neovim-0.2.0/src/nvim/cursor.c,2.0,15.0,3.0,60.0,317.0,126.0,3.0,3.0,5.0,1.0,19.0,2.0,15.0,3.0,0.0,20.0,497,60,300,77.0,312.0,126,1.0,17.0,138.0,228,81,1.0,146,19.0,19.0,39.0,6.0,4,0.42,68.0,68.0,98.0,25.0,17,552,115,9,1
