,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NumRevision,NumAdded,NumDeleted,NumAuthor,Label
0,openssl-OpenSSL_1_1_0/apps/app_rand.c,openssl-OpenSSL_1_1_0/apps/app_rand.c,1.0,21.0,3.0,11.0,87.0,19.0,5.0,5.0,6.0,3.0,24.0,1.0,19.0,3.0,0.0,4.0,115,11,78,13,56,19,0.0,9.0,43.0,64,14,4.0,46,8.0,8.0,9.0,5.0,4.0,0.24,20.0,20.0,24.0,13.0,22,346,242,9,0
1,openssl-OpenSSL_1_1_0/apps/apps.c,openssl-OpenSSL_1_1_0/apps/apps.c,1.0,21.0,1.0,259.0,2244.0,122.0,5.0,4.0,5.0,2.0,23.0,1.0,20.0,0.0,0.0,90.0,2611,230,1818,2541,1117,108,314.0,193.0,1044.0,1342,327,13.0,1002,18.0,18.0,24.0,12.0,3.0,0.06,419.0,404.0,472.0,268.0,265,7275,4923,24,0
2,openssl-OpenSSL_1_1_0/apps/asn1pars.c,openssl-OpenSSL_1_1_0/apps/asn1pars.c,15.0,121.0,2.0,36.0,280.0,15.0,28.0,20.0,31.0,26.0,137.0,15.0,121.0,2.0,0.0,2.0,330,36,272,48,210,15,0.0,8.0,154.0,245,65,3.0,177,48.0,32.0,54.0,45.0,4.0,0.06,56.0,40.0,62.0,52.0,55,1036,742,15,0
3,openssl-OpenSSL_1_1_0/apps/ca.c,openssl-OpenSSL_1_1_0/apps/ca.c,16.0,129.0,9.0,279.0,2137.0,161.0,31.0,28.0,35.0,21.0,153.0,16.0,128.0,9.0,0.0,15.0,2566,279,2059,271,2364,160,8.0,76.0,1094.0,1683,306,12.0,1365,239.0,191.0,270.0,187.0,5.0,0.08,466.0,414.0,522.0,328.0,257,8298,6011,23,0
4,openssl-OpenSSL_1_1_0/apps/ciphers.c,openssl-OpenSSL_1_1_0/apps/ciphers.c,4.0,56.0,1.0,16.0,218.0,11.0,13.0,9.0,13.0,9.0,60.0,4.0,50.0,1.0,0.0,3.0,242,16,176,64,216,11,0.0,42.0,93.0,155,49,0.0,106,36.0,24.0,36.0,25.0,4.0,0.06,38.0,26.0,38.0,27.0,51,614,388,13,0
5,openssl-OpenSSL_1_1_0/apps/cms.c,openssl-OpenSSL_1_1_0/apps/cms.c,6.0,130.0,1.0,72.0,1205.0,19.0,41.0,27.0,45.0,31.0,138.0,6.0,129.0,1.0,0.0,8.0,1296,72,1164,1233,1065,19,2.0,39.0,610.0,1086,255,1.0,830,294.0,185.0,326.0,227.0,4.0,0.02,325.0,216.0,359.0,248.0,72,3417,2193,11,0
6,openssl-OpenSSL_1_1_0/apps/crl.c,openssl-OpenSSL_1_1_0/apps/crl.c,14.0,272.0,0.0,18.0,321.0,8.0,71.0,45.0,72.0,54.0,286.0,14.0,266.0,0.0,0.0,1.0,347,18,304,59,253,8,0.0,17.0,162.0,283,78,0.0,205,71.0,45.0,72.0,54.0,4.0,0.03,71.0,45.0,72.0,54.0,59,1135,806,14,0
7,openssl-OpenSSL_1_1_0/apps/crl2p7.c,openssl-OpenSSL_1_1_0/apps/crl2p7.c,7.0,75.0,2.0,20.0,175.0,22.0,20.0,16.0,20.0,15.0,83.0,7.0,75.0,2.0,0.0,2.0,216,20,165,26,129,22,0.0,10.0,93.0,154,41,0.0,113,34.0,26.0,35.0,28.0,3.0,0.13,39.0,31.0,40.0,31.0,38,704,508,13,0
8,openssl-OpenSSL_1_1_0/apps/dgst.c,openssl-OpenSSL_1_1_0/apps/dgst.c,10.0,188.0,3.0,26.0,436.0,13.0,48.0,36.0,51.0,34.0,200.0,10.0,188.0,3.0,0.0,2.0,475,26,421,73,443,13,0.0,15.0,227.0,367,85,4.0,278,77.0,54.0,82.0,59.0,4.0,0.03,95.0,72.0,101.0,69.0,90,1655,1206,15,1
9,openssl-OpenSSL_1_1_0/apps/dhparam.c,openssl-OpenSSL_1_1_0/apps/dhparam.c,12.0,140.0,4.0,33.0,331.0,16.0,36.0,28.0,40.0,19.0,155.0,12.0,135.0,4.0,0.0,2.0,378,33,297,47,253,16,1.0,33.0,146.0,242,53,0.0,189,66.0,51.0,75.0,38.0,3.0,0.05,71.0,56.0,80.0,39.0,56,1246,901,14,0
10,openssl-OpenSSL_1_1_0/apps/dsa.c,openssl-OpenSSL_1_1_0/apps/dsa.c,10.0,184.0,3.0,15.0,232.0,12.0,45.0,27.0,52.0,34.0,194.0,10.0,178.0,3.0,0.0,1.0,256,15,205,43,169,12,1.0,26.0,106.0,185,53,0.0,132,45.0,27.0,52.0,34.0,3.0,0.06,45.0,27.0,52.0,34.0,66,984,743,16,0
11,openssl-OpenSSL_1_1_0/apps/dsaparam.c,openssl-OpenSSL_1_1_0/apps/dsaparam.c,7.0,114.0,1.0,24.0,277.0,10.0,26.0,19.0,26.0,15.0,122.0,7.0,98.0,1.0,0.0,2.0,311,21,216,38,183,9,34.0,31.0,133.0,196,52,0.0,144,46.0,33.0,47.0,30.0,3.0,0.04,51.0,38.0,52.0,31.0,71,1123,836,14,0
12,openssl-OpenSSL_1_1_0/apps/ec.c,openssl-OpenSSL_1_1_0/apps/ec.c,15.0,195.0,0.0,22.0,250.0,8.0,57.0,38.0,63.0,35.0,210.0,15.0,195.0,0.0,0.0,1.0,280,22,235,54,201,8,1.0,14.0,115.0,210,61,0.0,149,57.0,38.0,63.0,35.0,3.0,0.03,57.0,38.0,63.0,35.0,32,868,610,13,0
13,openssl-OpenSSL_1_1_0/apps/ecparam.c,openssl-OpenSSL_1_1_0/apps/ecparam.c,39.0,330.0,5.0,48.0,389.0,26.0,80.0,62.0,90.0,52.0,374.0,39.0,330.0,5.0,0.0,1.0,463,48,371,65,326,26,1.0,17.0,192.0,310,76,0.0,234,80.0,62.0,90.0,52.0,3.0,0.07,80.0,62.0,90.0,52.0,45,1634,1219,16,0
14,openssl-OpenSSL_1_1_0/apps/enc.c,openssl-OpenSSL_1_1_0/apps/enc.c,12.0,153.0,9.0,43.0,524.0,35.0,37.0,27.0,43.0,27.0,173.0,12.0,142.0,9.0,0.0,3.0,602,43,466,78,450,35,20.0,38.0,257.0,418,100,6.0,312,101.0,73.0,120.0,77.0,6.0,0.08,110.0,82.0,129.0,83.0,94,1831,1272,15,0
15,openssl-OpenSSL_1_1_0/apps/engine.c,openssl-OpenSSL_1_1_0/apps/engine.c,4.0,68.0,7.0,29.0,374.0,44.0,17.0,14.0,19.0,10.0,79.0,4.0,68.0,7.0,0.0,5.0,445,29,362,282,272,44,1.0,11.0,197.0,300,72,1.0,227,43.0,32.0,52.0,30.0,5.0,0.12,83.0,72.0,96.0,52.0,54,1303,887,9,0
16,openssl-OpenSSL_1_1_0/apps/errstr.c,openssl-OpenSSL_1_1_0/apps/errstr.c,2.0,33.0,3.0,6.0,50.0,11.0,7.0,5.0,7.0,4.0,38.0,2.0,33.0,3.0,0.0,1.0,67,6,42,15,31,11,0.0,8.0,20.0,35,14,0.0,21,7.0,5.0,7.0,4.0,2.0,0.26,7.0,5.0,7.0,4.0,20,240,179,7,0
17,openssl-OpenSSL_1_1_0/apps/gendsa.c,openssl-OpenSSL_1_1_0/apps/gendsa.c,10.0,88.0,0.0,15.0,122.0,8.0,21.0,14.0,22.0,17.0,98.0,10.0,88.0,0.0,0.0,1.0,145,15,104,23,85,8,1.0,17.0,56.0,96,30,0.0,66,21.0,14.0,22.0,17.0,3.0,0.08,21.0,14.0,22.0,17.0,55,703,573,12,0
18,openssl-OpenSSL_1_1_0/apps/genpkey.c,openssl-OpenSSL_1_1_0/apps/genpkey.c,8.0,58.0,0.0,38.0,267.0,9.0,14.0,11.0,15.0,11.0,66.0,8.0,57.0,0.0,0.0,4.0,314,38,252,43,198,9,0.0,15.0,137.0,220,54,0.0,166,38.0,26.0,39.0,32.0,3.0,0.04,57.0,45.0,59.0,46.0,29,840,564,6,0
19,openssl-OpenSSL_1_1_0/apps/genrsa.c,openssl-OpenSSL_1_1_0/apps/genrsa.c,7.0,61.0,0.0,21.0,162.0,8.0,15.0,11.0,18.0,10.0,68.0,7.0,61.0,0.0,0.0,2.0,191,21,141,32,112,8,1.0,20.0,79.0,126,39,0.0,87,25.0,16.0,31.0,19.0,3.0,0.06,30.0,21.0,36.0,20.0,67,897,727,13,0
20,openssl-OpenSSL_1_1_0/apps/nseq.c,openssl-OpenSSL_1_1_0/apps/nseq.c,7.0,78.0,0.0,11.0,94.0,8.0,18.0,13.0,18.0,15.0,85.0,7.0,78.0,0.0,0.0,1.0,113,11,89,15,71,8,0.0,5.0,51.0,84,23,0.0,61,18.0,13.0,18.0,15.0,2.0,0.09,18.0,13.0,18.0,15.0,26,366,264,10,0
21,openssl-OpenSSL_1_1_0/apps/ocsp.c,openssl-OpenSSL_1_1_0/apps/ocsp.c,7.0,82.0,2.0,111.0,1148.0,34.0,23.0,16.0,26.0,16.0,91.0,7.0,81.0,2.0,0.0,12.0,1288,111,1084,201,1233,32,22.0,56.0,601.0,1002,267,11.0,724,184.0,97.0,205.0,128.0,4.0,0.03,279.0,192.0,315.0,194.0,125,3628,2451,21,0
22,openssl-OpenSSL_1_1_0/apps/openssl.c,openssl-OpenSSL_1_1_0/apps/openssl.c,2.0,31.0,1.0,63.0,603.0,34.0,5.0,4.0,5.0,2.0,34.0,2.0,21.0,1.0,0.0,17.0,698,61,394,687,259,31,80.0,139.0,287.0,335,95,5.0,235,18.0,18.0,19.0,13.0,3.0,0.08,81.0,72.0,86.0,48.0,151,2338,1703,23,0
23,openssl-OpenSSL_1_1_0/apps/opt.c,openssl-OpenSSL_1_1_0/apps/opt.c,2.0,30.0,1.0,83.0,817.0,77.0,9.0,5.0,10.0,5.0,33.0,2.0,30.0,1.0,0.0,22.0,977,66,682,99,496,73,133.0,25.0,422.0,598,120,2.0,476,44.0,26.0,44.0,41.0,3.0,0.11,199.0,110.0,212.0,128.0,28,1070,176,10,0
24,openssl-OpenSSL_1_1_0/apps/passwd.c,openssl-OpenSSL_1_1_0/apps/passwd.c,15.0,117.0,12.0,58.0,415.0,53.0,27.0,23.0,35.0,19.0,139.0,15.0,107.0,11.0,0.0,3.0,511,57,357,70,278,51,13.0,47.0,188.0,289,71,0.0,218,38.0,28.0,45.0,32.0,4.0,0.14,82.0,70.0,104.0,58.0,56,1397,944,13,0
25,openssl-OpenSSL_1_1_0/apps/pkcs12.c,openssl-OpenSSL_1_1_0/apps/pkcs12.c,7.0,71.0,2.0,85.0,817.0,32.0,17.0,13.0,18.0,13.0,80.0,7.0,70.0,2.0,0.0,10.0,934,85,782,632,594,32,4.0,31.0,423.0,669,167,0.0,502,107.0,66.0,114.0,86.0,5.0,0.04,172.0,126.0,179.0,130.0,142,2874,2025,15,0
26,openssl-OpenSSL_1_1_0/apps/pkcs7.c,openssl-OpenSSL_1_1_0/apps/pkcs7.c,16.0,135.0,0.0,20.0,167.0,8.0,37.0,25.0,37.0,22.0,151.0,16.0,135.0,0.0,0.0,1.0,195,20,154,28,126,8,0.0,13.0,81.0,145,37,0.0,108,37.0,25.0,37.0,22.0,4.0,0.05,37.0,25.0,37.0,22.0,38,753,578,10,0
27,openssl-OpenSSL_1_1_0/apps/pkcs8.c,openssl-OpenSSL_1_1_0/apps/pkcs8.c,14.0,281.0,0.0,18.0,326.0,8.0,69.0,48.0,75.0,62.0,295.0,14.0,269.0,0.0,0.0,1.0,352,18,300,48,256,8,0.0,26.0,155.0,264,60,0.0,204,69.0,48.0,75.0,62.0,4.0,0.03,69.0,48.0,75.0,62.0,64,1370,1036,13,0
28,openssl-OpenSSL_1_1_0/apps/pkey.c,openssl-OpenSSL_1_1_0/apps/pkey.c,11.0,132.0,0.0,15.0,166.0,8.0,37.0,21.0,39.0,28.0,143.0,11.0,132.0,0.0,0.0,1.0,189,15,158,34,132,8,0.0,8.0,75.0,144,47,0.0,97,37.0,21.0,39.0,28.0,4.0,0.05,37.0,21.0,39.0,28.0,18,578,404,7,0
29,openssl-OpenSSL_1_1_0/apps/pkeyparam.c,openssl-OpenSSL_1_1_0/apps/pkeyparam.c,7.0,62.0,0.0,11.0,83.0,8.0,16.0,9.0,16.0,13.0,69.0,7.0,62.0,0.0,0.0,1.0,102,11,75,19,63,8,0.0,8.0,40.0,73,24,0.0,49,16.0,9.0,16.0,13.0,2.0,0.11,16.0,9.0,16.0,13.0,14,349,258,6,0
