,Name,NumRevision,NumAdded,NumDeleted,NumAuthor,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountClassCoupledamin,CountDeclClassMethodamin,CountDeclClassVariableamin,CountDeclMethodAllamin,CountDeclMethodPrivateamin,CountDeclMethodPublicamin,MaxInheritanceTreeamin,PercentLackOfCohesionamin,CountDeclInstanceMethodamin,CountDeclInstanceVariableamin,CountClassCoupledamax,CountDeclClassMethodamax,CountDeclClassVariableamax,CountDeclMethodAllamax,CountDeclMethodPrivateamax,CountDeclMethodPublicamax,MaxInheritanceTreeamax,PercentLackOfCohesionamax,CountDeclInstanceMethodamax,CountDeclInstanceVariableamax,CountClassCoupledaverage,CountDeclClassMethodaverage,CountDeclClassVariableaverage,CountDeclMethodAllaverage,CountDeclMethodPrivateaverage,CountDeclMethodPublicaverage,MaxInheritanceTreeaverage,PercentLackOfCohesionaverage,CountDeclInstanceMethodaverage,CountDeclInstanceVariableaverage,Label
0,spring-framework-5.1.0.RELEASE/spring-webflux/src/test/java/org/springframework/web/reactive/DispatcherHandlerErrorTests.java,15,285,98,4,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,5.0,0.0,1.0,24.0,24.0,17.0,1.0,17.0,0.0,0.0,0.0,17.0,233.0,46.0,166.0,102.0,61.0,21.0,79.0,101.0,76.0,25.0,1.0,1.0,1.0,1.0,0.0,0.13,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,1.0,8.0,0.0,8.0,1.0,0.0,8.0,1.0,7.0,0.0,0.2,3.4,0.0,3.4,1.0,0.0,3.4,0.2,0
1,spring-framework-5.1.0.RELEASE/spring-webflux/src/test/java/org/springframework/web/reactive/DispatcherHandlerTests.java,5,100,15,2,1.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,3.0,0.0,1.0,10.0,10.0,6.0,0.0,6.0,0.0,1.0,0.0,5.0,108.0,23.0,66.0,43.0,24.0,19.0,42.0,51.0,36.0,15.0,1.0,1.0,2.0,1.0,0.0,0.29,10.0,10.0,11.0,10.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,15.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,7.666666666666667,0.0,0.3333333333333333,2.0,0.3333333333333333,1.6666666666666667,1.0,0.0,2.0,0.0,0
2,spring-framework-5.1.0.RELEASE/spring-webflux/src/test/java/org/springframework/web/reactive/FlushingIntegrationTests.java,11,243,105,5,1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,2.0,0.0,0.0,16.0,16.0,8.0,1.0,8.0,0.0,2.0,1.0,5.0,165.0,27.0,114.0,42.0,66.0,27.0,42.0,58.0,34.0,24.0,4.0,4.0,5.0,4.0,3.0,0.24,24.0,22.0,26.0,21.0,4.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,7.0,0.0,0.0,10.0,2.0,4.0,2.0,19.0,5.0,1.0,5.5,0.0,0.0,6.5,1.0,2.5,1.5,9.5,4.0,0.5,0
3,spring-framework-5.1.0.RELEASE/spring-webflux/src/test/java/org/springframework/web/reactive/handler/SimpleUrlHandlerMappingTests.java,12,166,39,4,1.0,1.0,1.0,1.0,13.0,0.0,12.0,0.0,2.0,0.0,0.0,6.0,6.0,6.0,0.0,6.0,0.0,1.0,0.0,5.0,146.0,19.0,106.0,46.0,62.0,21.0,78.0,87.0,38.0,49.0,2.0,2.0,2.0,1.0,1.0,0.2,7.0,7.0,7.0,6.0,3.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,12.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,3.0,0.0,7.5,0.0,0.0,3.0,0.5,2.5,1.0,0.0,3.0,0.0,0
4,spring-framework-5.1.0.RELEASE/spring-webflux/src/test/java/org/springframework/web/reactive/handler/CorsUrlHandlerMappingTests.java,6,177,21,3,1.0,1.0,1.0,1.0,9.0,1.0,8.0,0.0,4.0,0.0,0.0,12.0,12.0,12.0,3.0,12.0,0.0,1.0,0.0,11.0,196.0,40.0,135.0,73.0,77.0,32.0,87.0,102.0,62.0,40.0,1.0,1.0,1.0,1.0,0.0,0.24,12.0,12.0,12.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,34.0,1.0,9.0,4.0,36.0,10.0,3.0,4.0,0.0,0.0,11.5,0.25,2.75,1.75,9.0,3.0,0.75,1
5,spring-framework-5.1.0.RELEASE/spring-webflux/src/test/java/org/springframework/web/reactive/handler/WebFluxResponseStatusExceptionHandlerTests.java,1,52,0,1,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,65.0,13.0,31.0,21.0,7.0,21.0,16.0,21.0,16.0,5.0,1.0,1.0,1.0,1.0,0.0,0.68,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,2.0,2.0,0.0,3.0,0.0,3.5,0.0,0.0,4.5,0.0,1.0,2.0,0.0,1.5,0.0,0
6,spring-framework-5.1.0.RELEASE/spring-webflux/src/test/java/org/springframework/web/reactive/result/HandlerResultHandlerTests.java,8,159,67,2,1.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0,12.0,12.0,7.0,1.0,7.0,0.0,0.0,1.0,6.0,117.0,25.0,72.0,55.0,27.0,22.0,47.0,56.0,48.0,8.0,1.0,1.0,1.0,1.0,0.0,0.31,12.0,12.0,12.0,12.0,3.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,2.0,0.0,9.0,0.0,0.0,12.0,0.0,5.0,2.0,19.0,5.0,1.0,6.0,0.0,0.0,8.5,0.0,3.0,1.5,9.5,3.5,0.5,0
7,spring-framework-5.1.0.RELEASE/spring-webflux/src/test/java/org/springframework/web/reactive/result/SimpleUrlHandlerMappingIntegrationTests.java,4,127,3,2,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,3.0,1.0,0.0,11.0,11.0,7.0,1.0,8.0,0.0,1.0,1.0,6.0,145.0,21.0,103.0,61.0,42.0,25.0,62.0,73.0,52.0,21.0,2.0,2.0,2.0,1.0,1.0,0.24,12.0,12.0,12.0,11.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,1.0,0.0,42.0,1.0,4.0,5.0,0.0,5.0,1.0,8.333333333333334,0.3333333333333333,0.0,18.333333333333332,0.3333333333333333,2.0,2.6666666666666665,0.0,2.3333333333333335,0.3333333333333333,0
8,spring-framework-5.1.0.RELEASE/spring-webflux/src/test/java/org/springframework/web/reactive/result/condition/ProducesRequestConditionTests.java,6,328,92,2,1.0,1.0,1.0,1.0,11.0,2.0,9.0,0.0,1.0,0.0,0.0,20.0,20.0,20.0,0.0,20.0,0.0,1.0,0.0,19.0,314.0,78.0,213.0,109.0,136.0,37.0,136.0,163.0,91.0,72.0,5.0,5.0,5.0,4.0,3.0,0.17,24.0,24.0,24.0,23.0,8.0,0.0,0.0,20.0,1.0,19.0,1.0,0.0,20.0,0.0,8.0,0.0,0.0,20.0,1.0,19.0,1.0,0.0,20.0,0.0,8.0,0.0,0.0,20.0,1.0,19.0,1.0,0.0,20.0,0.0,0
9,spring-framework-5.1.0.RELEASE/spring-webflux/src/test/java/org/springframework/web/reactive/result/condition/RequestMappingInfoTests.java,10,459,229,3,1.0,1.0,1.0,1.0,16.0,3.0,12.0,0.0,1.0,0.0,0.0,13.0,13.0,12.0,1.0,12.0,0.0,0.0,0.0,12.0,299.0,69.0,209.0,91.0,144.0,24.0,129.0,142.0,74.0,68.0,1.0,1.0,1.0,1.0,0.0,0.11,13.0,13.0,13.0,13.0,16.0,0.0,0.0,12.0,0.0,12.0,1.0,91.0,12.0,1.0,16.0,0.0,0.0,12.0,0.0,12.0,1.0,91.0,12.0,1.0,16.0,0.0,0.0,12.0,0.0,12.0,1.0,91.0,12.0,1.0,1
