,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NumRevision,NumAdded,NumDeleted,NumAuthor,Label
0,spring-boot-1.4.0.RELEASE/spring-boot-actuator-docs/src/restdoc/java/org/springframework/boot/actuate/hypermedia/EndpointDocumentation.java,1.0,1.0,1.0,1.0,8.0,0.0,7.0,0.0,4.0,1.0,3.0,11.0,11.0,10.0,6.0,11.0,0.0,1.0,0.0,10.0,193.0,29.0,149.0,92.0,58.0,15.0,81.0,99.0,75.0,24.0,5.0,5.0,5.0,1.0,1.0,0.1,17,17,17,11,19,228,64,4,0
1,spring-boot-1.4.0.RELEASE/spring-boot-actuator-docs/src/restdoc/java/org/springframework/boot/actuate/hypermedia/HealthEndpointDocumentation.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,57.0,8.0,34.0,30.0,2.0,15.0,19.0,21.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,0.44,1,1,1,1,13,90,41,4,0
2,spring-boot-1.4.0.RELEASE/spring-boot-actuator-docs/src/restdoc/java/org/springframework/boot/actuate/hypermedia/HypermediaEndpointDocumentation.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,68.0,10.0,43.0,33.0,6.0,15.0,21.0,25.0,22.0,3.0,1.0,1.0,1.0,1.0,0.0,0.35,3,3,3,3,14,100,42,3,0
3,spring-boot-1.4.0.RELEASE/spring-boot-actuator-docs/src/restdoc/java/org/springframework/boot/actuate/hypermedia/LimitedEnvironmentEndpoint.java,3.0,3.0,3.0,1.0,11.0,0.0,10.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,100.0,10.0,70.0,26.0,42.0,20.0,50.0,57.0,22.0,35.0,4.0,4.0,4.0,1.0,3.0,0.29,6,6,6,2,2,91,1,1,0
4,spring-boot-1.4.0.RELEASE/spring-boot-actuator-docs/src/restdoc/java/org/springframework/boot/actuate/hypermedia/SpringBootHypermediaApplication.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,49.0,8.0,25.0,18.0,3.0,16.0,13.0,17.0,14.0,3.0,1.0,1.0,1.0,1.0,0.0,0.64,3,3,3,3,5,45,4,2,0
5,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/audit/AuditEvent.java,1.0,1.0,1.0,1.0,9.0,0.0,5.0,4.0,1.0,1.0,0.0,9.0,9.0,8.0,4.0,9.0,0.0,1.0,0.0,8.0,143.0,18.0,61.0,27.0,23.0,64.0,32.0,45.0,26.0,19.0,3.0,3.0,3.0,1.0,2.0,1.05,11,11,11,9,11,138,13,6,0
6,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/audit/AuditEventRepository.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,66.0,8.0,9.0,8.0,0.0,49.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44,0,0,0,0,8,77,19,7,0
7,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/audit/InMemoryAuditEventRepository.java,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,1.0,9.0,9.0,9.0,3.0,9.0,0.0,2.0,0.0,7.0,109.0,18.0,62.0,27.0,27.0,29.0,30.0,45.0,24.0,21.0,3.0,3.0,4.0,1.0,2.0,0.47,11,11,15,9,12,235,144,6,0
8,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/audit/listener/AbstractAuditListener.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,38.0,6.0,11.0,8.0,1.0,21.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,1.91,1,1,1,1,1,32,0,1,0
9,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/audit/listener/AuditApplicationEvent.java,1.0,1.0,1.0,1.0,10.0,0.0,3.0,6.0,1.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,93.0,11.0,28.0,15.0,7.0,54.0,14.0,20.0,13.0,7.0,1.0,1.0,1.0,1.0,0.0,1.93,5,5,5,5,9,88,6,3,0
10,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/audit/listener/AuditListener.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,51.0,9.0,19.0,11.0,5.0,23.0,10.0,14.0,10.0,4.0,2.0,2.0,2.0,1.0,1.0,1.21,3,3,3,2,9,60,18,7,0
11,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/audit/listener/package-info.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,1.0,0.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0,0,0,0,2,19,0,1,0
12,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/audit/package-info.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,0.0,0.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0,0,0,0,2,19,0,1,0
13,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/autoconfigure/ActuatorMetricWriter.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,5.0,16.0,15.0,0.0,21.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0,0,0,0,1,37,0,1,0
14,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/autoconfigure/AuditAutoConfiguration.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,81.0,12.0,48.0,36.0,5.0,21.0,22.0,29.0,24.0,5.0,1.0,1.0,1.0,1.0,0.0,0.44,5,5,5,5,8,84,15,4,0
15,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/autoconfigure/CacheStatisticsAutoConfiguration.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,10.0,0.0,1.0,9.0,9.0,9.0,0.0,9.0,0.0,0.0,0.0,9.0,166.0,30.0,112.0,78.0,16.0,24.0,44.0,63.0,52.0,11.0,2.0,2.0,2.0,1.0,1.0,0.21,10,10,10,9,11,161,25,3,0
16,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/autoconfigure/CompositeHealthIndicatorConfiguration.java,2.0,2.0,2.0,1.0,13.0,0.0,13.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,70.0,8.0,38.0,19.0,18.0,24.0,17.0,24.0,16.0,8.0,3.0,3.0,3.0,1.0,1.0,0.63,5,5,5,2,3,66,4,3,0
17,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/autoconfigure/ConditionalOnEnabledHealthIndicator.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,49.0,6.0,14.0,13.0,0.0,29.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0,0,0,0,1,43,0,1,0
18,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/autoconfigure/ConditionalOnEnabledInfoContributor.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,49.0,6.0,14.0,13.0,0.0,29.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0,0,0,0,2,44,1,2,0
19,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/autoconfigure/CrshAutoConfiguration.java,1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,10.0,0.0,2.0,37.0,37.0,37.0,17.0,37.0,5.0,2.0,4.0,26.0,572.0,89.0,398.0,205.0,144.0,85.0,166.0,247.0,150.0,97.0,5.0,5.0,6.0,4.0,2.0,0.21,64,64,68,47,49,886,402,10,0
20,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/autoconfigure/ElasticsearchHealthIndicatorConfiguration.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,6.0,6.0,6.0,3.0,6.0,2.0,0.0,2.0,2.0,98.0,19.0,58.0,42.0,7.0,21.0,23.0,32.0,25.0,7.0,1.0,1.0,1.0,1.0,0.0,0.36,6,6,6,6,4,87,8,3,0
21,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/autoconfigure/EndpointAutoConfiguration.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,14.0,14.0,14.0,5.0,14.0,0.0,0.0,0.0,14.0,219.0,31.0,160.0,113.0,30.0,28.0,72.0,91.0,70.0,21.0,3.0,3.0,3.0,1.0,1.0,0.17,19,19,19,14,45,440,252,13,1
22,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/autoconfigure/EndpointCorsProperties.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,12.0,12.0,12.0,6.0,12.0,0.0,0.0,0.0,12.0,114.0,23.0,49.0,24.0,17.0,42.0,22.0,35.0,23.0,12.0,1.0,1.0,1.0,1.0,0.0,0.86,12,12,12,12,1,91,0,1,0
23,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/autoconfigure/EndpointMBeanExportAutoConfiguration.java,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,2.0,0.0,0.0,5.0,5.0,5.0,2.0,5.0,0.0,1.0,0.0,4.0,107.0,15.0,67.0,47.0,19.0,25.0,38.0,46.0,35.0,11.0,2.0,2.0,2.0,1.0,1.0,0.37,6,6,7,5,23,214,122,6,0
24,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/autoconfigure/EndpointMBeanExportProperties.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,8.0,8.0,8.0,4.0,8.0,0.0,0.0,0.0,8.0,86.0,16.0,37.0,20.0,11.0,33.0,17.0,26.0,18.0,8.0,1.0,1.0,1.0,1.0,0.0,0.89,8,8,8,8,11,75,5,4,0
25,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/autoconfigure/EndpointWebMvcAutoConfiguration.java,1.0,1.0,2.0,1.0,8.0,0.0,8.0,0.0,8.0,8.0,1.0,30.0,28.0,22.0,7.0,30.0,1.0,14.0,0.0,15.0,434.0,50.0,340.0,161.0,143.0,44.0,136.0,192.0,115.0,77.0,7.0,7.0,12.0,4.0,2.0,0.13,55,55,68,35,82,1187,799,11,0
26,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/autoconfigure/EndpointWebMvcChildContextConfiguration.java,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,8.0,0.0,0.0,18.0,18.0,18.0,9.0,18.0,0.0,3.0,0.0,15.0,324.0,47.0,235.0,121.0,79.0,42.0,108.0,156.0,89.0,67.0,4.0,4.0,4.0,3.0,2.0,0.18,35,35,35,28,47,598,323,10,1
27,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/autoconfigure/EndpointWebMvcHypermediaManagementContextConfiguration.java,1.0,1.0,2.0,1.0,7.0,0.0,7.0,0.0,8.0,0.0,0.0,21.0,21.0,21.0,8.0,21.0,2.0,7.0,0.0,12.0,360.0,50.0,275.0,162.0,85.0,35.0,112.0,157.0,104.0,53.0,5.0,5.0,8.0,5.0,3.0,0.13,39,39,48,28,23,761,451,5,0
28,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/autoconfigure/EndpointWebMvcManagementContextConfiguration.java,2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,2.0,0.0,0.0,10.0,10.0,10.0,4.0,10.0,0.0,1.0,0.0,9.0,203.0,21.0,161.0,94.0,54.0,21.0,75.0,101.0,62.0,39.0,7.0,7.0,7.0,4.0,2.0,0.13,23,23,25,13,7,191,9,4,0
