Name,NumRevision,NumAdded,NumDeleted,NumAuthor
esp-idf-3.0/tools/kconfig/confdata.c,3,1127,14,2
esp-idf-3.0/tools/kconfig/util.c,1,130,0,1
esp-idf-3.0/tools/kconfig/menu.c,1,619,0,1
esp-idf-3.0/tools/kconfig/images.c,1,311,0,1
esp-idf-3.0/tools/kconfig/gconf.c,1,1263,0,1
esp-idf-3.0/tools/kconfig/nconf.gui.c,1,575,0,1
esp-idf-3.0/tools/kconfig/kxgettext.c,1,190,0,1
esp-idf-3.0/tools/kconfig/mconf.c,1,974,0,1
esp-idf-3.0/tools/kconfig/symbol.c,1,1203,0,1
esp-idf-3.0/tools/kconfig/conf.c,1,670,0,1
esp-idf-3.0/tools/kconfig/nconf.c,1,1434,0,1
esp-idf-3.0/tools/kconfig/expr.c,1,1118,0,1
esp-idf-3.0/tools/kconfig/lxdialog/inputbox.c,1,273,0,1
esp-idf-3.0/tools/kconfig/lxdialog/util.c,1,618,0,1
esp-idf-3.0/tools/kconfig/lxdialog/textbox.c,1,367,0,1
esp-idf-3.0/tools/kconfig/lxdialog/yesno.c,1,97,0,1
esp-idf-3.0/tools/kconfig/lxdialog/checklist.c,1,287,0,1
esp-idf-3.0/tools/kconfig/lxdialog/menubox.c,1,383,0,1
esp-idf-3.0/tools/unit-test-app/components/unity/ref_clock.c,3,153,8,2
esp-idf-3.0/tools/unit-test-app/components/unity/unity.c,2,1200,0,2
esp-idf-3.0/tools/unit-test-app/components/unity/test_utils.c,2,26,3,2
esp-idf-3.0/tools/unit-test-app/components/unity/unity_platform.c,17,351,64,5
esp-idf-3.0/tools/unit-test-app/main/app_main.c,6,25,8,4
esp-idf-3.0/components/bootloader_support/test/test_verify_image.c,2,49,8,1
esp-idf-3.0/components/bootloader_support/src/secure_boot.c,8,259,80,2
esp-idf-3.0/components/bootloader_support/src/flash_partitions.c,2,55,4,1
esp-idf-3.0/components/bootloader_support/src/efuse.c,2,53,0,1
esp-idf-3.0/components/bootloader_support/src/bootloader_random.c,8,144,20,3
esp-idf-3.0/components/bootloader_support/src/esp_image_format.c,14,738,247,3
esp-idf-3.0/components/bootloader_support/src/bootloader_sha.c,2,145,10,1
esp-idf-3.0/components/bootloader_support/src/bootloader_flash.c,11,258,39,6
esp-idf-3.0/components/bootloader_support/src/flash_encrypt.c,7,329,34,3
esp-idf-3.0/components/bootloader_support/src/bootloader_clock.c,1,57,0,1
esp-idf-3.0/components/bootloader_support/src/secure_boot_signatures.c,7,142,66,1
esp-idf-3.0/components/wear_levelling/test/test_wl.c,3,150,13,2
esp-idf-3.0/components/fatfs/test/test_fatfs_sdmmc.c,5,207,2,1
esp-idf-3.0/components/fatfs/test/test_fatfs_common.c,4,438,13,1
esp-idf-3.0/components/fatfs/test/test_fatfs_spiflash.c,3,152,1,1
esp-idf-3.0/components/fatfs/src/ff.c,5,8324,1761,3
esp-idf-3.0/components/fatfs/src/vfs_fat_sdmmc.c,11,192,33,4
esp-idf-3.0/components/fatfs/src/diskio_spiflash.c,4,144,27,1
esp-idf-3.0/components/fatfs/src/ffunicode.c,1,15586,0,1
esp-idf-3.0/components/fatfs/src/vfs_fat_spiflash.c,4,119,7,3
esp-idf-3.0/components/fatfs/src/vfs_fat.c,15,763,111,6
esp-idf-3.0/components/fatfs/src/diskio_sdmmc.c,3,83,3,1
esp-idf-3.0/components/fatfs/src/diskio.c,9,393,301,5
esp-idf-3.0/components/fatfs/src/ffsystem.c,1,106,0,1
esp-idf-3.0/components/nghttp/port/http_parser.c,1,2068,0,1
esp-idf-3.0/components/vfs/vfs_uart.c,10,361,85,3
esp-idf-3.0/components/vfs/vfs.c,19,546,36,3
esp-idf-3.0/components/vfs/test/test_vfs_paths.c,4,216,1,2
esp-idf-3.0/components/vfs/test/test_vfs_uart.c,3,170,4,2
esp-idf-3.0/components/espcoredump/test/test_core_dump.c,1,90,0,1
esp-idf-3.0/components/partition_table/test/test_partition.c,5,97,11,3
esp-idf-3.0/components/spiffs/esp_spiffs.c,4,763,20,3
esp-idf-3.0/components/spiffs/test/test_spiffs.c,3,488,6,2
esp-idf-3.0/components/driver/timer.c,9,567,310,6
esp-idf-3.0/components/driver/sigmadelta.c,2,54,1,2
esp-idf-3.0/components/driver/gpio.c,25,1325,876,9
esp-idf-3.0/components/driver/sdspi_crc.c,1,53,0,1
esp-idf-3.0/components/driver/periph_ctrl.c,15,458,257,8
esp-idf-3.0/components/driver/pcnt.c,10,292,34,6
esp-idf-3.0/components/driver/i2c.c,15,1474,179,10
esp-idf-3.0/components/driver/spi_slave.c,10,537,144,5
esp-idf-3.0/components/driver/ledc.c,27,1200,594,12
esp-idf-3.0/components/driver/rtc_module.c,26,2074,511,9
esp-idf-3.0/components/driver/mcpwm.c,1,693,0,1
esp-idf-3.0/components/driver/sdmmc_host.c,5,451,13,3
esp-idf-3.0/components/driver/i2s.c,19,1508,326,8
esp-idf-3.0/components/driver/sdspi_transaction.c,2,114,2,2
esp-idf-3.0/components/driver/spi_common.c,11,551,167,5
esp-idf-3.0/components/driver/sdspi_host.c,3,864,44,3
esp-idf-3.0/components/driver/spi_master.c,37,1089,397,10
esp-idf-3.0/components/driver/sdmmc_transaction.c,8,403,21,2
esp-idf-3.0/components/driver/uart.c,43,3299,2038,12
esp-idf-3.0/components/driver/rmt.c,17,762,73,7
esp-idf-3.0/components/driver/test/test_adc2.c,1,104,0,1
esp-idf-3.0/components/driver/test/test_spi_slave.c,1,123,0,1
esp-idf-3.0/components/driver/test/test_spi_master.c,16,764,139,5
esp-idf-3.0/components/expat/library/xmlrole.c,1,1264,0,1
esp-idf-3.0/components/expat/library/xmltok_ns.c,1,105,0,1
esp-idf-3.0/components/expat/library/xmlparse.c,1,6119,0,1
esp-idf-3.0/components/expat/library/xmltok.c,1,1585,0,1
esp-idf-3.0/components/expat/library/xmltok_impl.c,1,1718,0,1
esp-idf-3.0/components/expat/port/minicheck.c,2,193,29,2
