Name,NumRevision,NumAdded,NumDeleted,NumAuthor
freeradius-server-release_3_0_0/scripts/jlibtool.c,49,4856,2699,2
freeradius-server-release_3_0_0/doc/source/extra/module.c,1,12,0,1
freeradius-server-release_3_0_0/doc/source/extra/client.c,2,11,1,2
freeradius-server-release_3_0_0/doc/source/extra/core.c,1,26,0,1
freeradius-server-release_3_0_0/doc/source/extra/toc.c,3,65,9,3
freeradius-server-release_3_0_0/src/tests/rbmonkey.c,2,393,179,2
freeradius-server-release_3_0_0/src/lib/dict.c,211,5160,2546,12
freeradius-server-release_3_0_0/src/lib/log.c,27,209,68,7
freeradius-server-release_3_0_0/src/lib/hmac.c,21,289,151,6
freeradius-server-release_3_0_0/src/lib/md4.c,19,600,320,6
freeradius-server-release_3_0_0/src/lib/rbtree.c,41,857,188,6
freeradius-server-release_3_0_0/src/lib/hmacsha1.c,17,305,137,5
freeradius-server-release_3_0_0/src/lib/missing.c,25,289,54,6
freeradius-server-release_3_0_0/src/lib/heap.c,7,241,20,3
freeradius-server-release_3_0_0/src/lib/print.c,121,1506,716,12
freeradius-server-release_3_0_0/src/lib/strlcpy.c,8,61,7,4
freeradius-server-release_3_0_0/src/lib/packet.c,63,1549,811,6
freeradius-server-release_3_0_0/src/lib/isaac.c,10,137,19,4
freeradius-server-release_3_0_0/src/lib/sha1.c,17,218,72,5
freeradius-server-release_3_0_0/src/lib/token.c,42,431,149,7
freeradius-server-release_3_0_0/src/lib/filters.c,67,3162,2024,13
freeradius-server-release_3_0_0/src/lib/hash.c,34,1085,371,5
freeradius-server-release_3_0_0/src/lib/fifo.c,18,355,199,5
freeradius-server-release_3_0_0/src/lib/snprintf.c,12,1665,888,6
freeradius-server-release_3_0_0/src/lib/tcp.c,17,408,54,4
freeradius-server-release_3_0_0/src/lib/getaddrinfo.c,15,681,269,5
freeradius-server-release_3_0_0/src/lib/event.c,34,880,489,4
freeradius-server-release_3_0_0/src/lib/valuepair.c,323,5810,3305,16
freeradius-server-release_3_0_0/src/lib/base64.c,13,672,316,2
freeradius-server-release_3_0_0/src/lib/radius.c,398,12752,8863,15
freeradius-server-release_3_0_0/src/lib/md5.c,28,643,387,8
freeradius-server-release_3_0_0/src/lib/strlcat.c,8,66,8,4
freeradius-server-release_3_0_0/src/lib/misc.c,101,1335,696,14
freeradius-server-release_3_0_0/src/lib/udpfromto.c,27,695,250,5
freeradius-server-release_3_0_0/src/main/log.c,116,1318,866,14
freeradius-server-release_3_0_0/src/main/crypt.c,10,108,26,4
freeradius-server-release_3_0_0/src/main/modules.c,270,5297,3845,14
freeradius-server-release_3_0_0/src/main/realms.c,161,3460,1416,8
freeradius-server-release_3_0_0/src/main/session.c,54,551,335,9
freeradius-server-release_3_0_0/src/main/soh.c,17,675,103,3
freeradius-server-release_3_0_0/src/main/process.c,155,7288,3742,6
freeradius-server-release_3_0_0/src/main/auth.c,234,3022,2432,17
freeradius-server-release_3_0_0/src/main/util.c,127,1611,689,11
freeradius-server-release_3_0_0/src/main/cb.c,8,128,21,2
freeradius-server-release_3_0_0/src/main/exec.c,110,2243,1686,14
freeradius-server-release_3_0_0/src/main/conffile.c,327,6908,4448,14
freeradius-server-release_3_0_0/src/main/files.c,121,1480,1228,13
freeradius-server-release_3_0_0/src/main/evaluate.c,142,2637,1852,6
freeradius-server-release_3_0_0/src/main/command.c,134,2978,732,4
freeradius-server-release_3_0_0/src/main/listen.c,281,7265,4496,8
freeradius-server-release_3_0_0/src/main/xlat.c,292,5868,4143,17
freeradius-server-release_3_0_0/src/main/radmin.c,59,932,322,5
freeradius-server-release_3_0_0/src/main/radwho.c,103,1291,838,13
freeradius-server-release_3_0_0/src/main/stats.c,51,1100,370,5
freeradius-server-release_3_0_0/src/main/acct.c,56,420,253,11
freeradius-server-release_3_0_0/src/main/radsniff.c,53,1582,1030,7
freeradius-server-release_3_0_0/src/main/client.c,142,2273,1186,13
freeradius-server-release_3_0_0/src/main/radconf2xml.c,19,151,35,3
freeradius-server-release_3_0_0/src/main/connection.c,68,1726,816,3
freeradius-server-release_3_0_0/src/main/radiusd.c,453,9725,9204,20
freeradius-server-release_3_0_0/src/main/valuepair.c,241,3991,2741,16
freeradius-server-release_3_0_0/src/main/map.c,21,711,77,2
freeradius-server-release_3_0_0/src/main/tls_listen.c,25,578,58,2
freeradius-server-release_3_0_0/src/main/detail.c,81,1123,316,4
freeradius-server-release_3_0_0/src/main/version.c,39,320,178,9
freeradius-server-release_3_0_0/src/main/tls.c,85,3388,1027,6
freeradius-server-release_3_0_0/src/main/radclient.c,176,2744,1572,15
freeradius-server-release_3_0_0/src/main/modcall.c,220,4703,2451,13
freeradius-server-release_3_0_0/src/main/radattr.c,41,840,174,3
freeradius-server-release_3_0_0/src/main/parser.c,45,1608,675,3
