Name,NumRevision,NumAdded,NumDeleted,NumAuthor
freeswitch-1.5.0/libs/freetdm/mod_freetdm/mod_freetdm.c,286,7447,2681,23
freeswitch-1.5.0/libs/freetdm/mod_freetdm/tdm.c,42,729,85,8
freeswitch-1.5.0/libs/freetdm/sample/dso/ftdmload.c,3,147,1,1
freeswitch-1.5.0/libs/freetdm/sample/sched/ftdmsched.c,2,93,1,1
freeswitch-1.5.0/libs/freetdm/src/libteletone_detect.c,22,745,315,5
freeswitch-1.5.0/libs/freetdm/src/ftdm_cpu_monitor.c,7,294,25,3
freeswitch-1.5.0/libs/freetdm/src/testtones.c,6,72,9,3
freeswitch-1.5.0/libs/freetdm/src/ftdm_state.c,28,635,113,4
freeswitch-1.5.0/libs/freetdm/src/ftdm_variables.c,3,143,10,1
freeswitch-1.5.0/libs/freetdm/src/ftdm_threadmutex.c,21,660,100,7
freeswitch-1.5.0/libs/freetdm/src/priserver.c,11,320,43,4
freeswitch-1.5.0/libs/freetdm/src/hashtable_itr.c,11,262,93,3
freeswitch-1.5.0/libs/freetdm/src/ftdm_io.c,356,8976,2917,19
freeswitch-1.5.0/libs/freetdm/src/ftdm_config.c,9,340,16,3
freeswitch-1.5.0/libs/freetdm/src/ftdm_queue.c,4,207,11,1
freeswitch-1.5.0/libs/freetdm/src/ftdm_dso.c,4,114,6,1
freeswitch-1.5.0/libs/freetdm/src/g711.c,3,130,37,2
freeswitch-1.5.0/libs/freetdm/src/fsk.c,9,338,35,3
freeswitch-1.5.0/libs/freetdm/src/testapp.c,21,142,66,4
freeswitch-1.5.0/libs/freetdm/src/testr2.c,10,206,61,3
freeswitch-1.5.0/libs/freetdm/src/testpri.c,7,184,51,3
freeswitch-1.5.0/libs/freetdm/src/ftdm_sched.c,13,581,96,5
freeswitch-1.5.0/libs/freetdm/src/ftdm_buffer.c,3,248,2,2
freeswitch-1.5.0/libs/freetdm/src/ftdm_call_utils.c,6,264,63,2
freeswitch-1.5.0/libs/freetdm/src/detect_tones.c,4,30,5,3
freeswitch-1.5.0/libs/freetdm/src/libteletone_generate.c,26,610,151,6
freeswitch-1.5.0/libs/freetdm/src/detect_dtmf.c,5,51,8,4
freeswitch-1.5.0/libs/freetdm/src/sangoma_pri.c,7,264,49,4
freeswitch-1.5.0/libs/freetdm/src/hashtable.c,16,497,181,4
freeswitch-1.5.0/libs/freetdm/src/ftdm_callerid.c,2,251,1,1
freeswitch-1.5.0/libs/freetdm/src/testisdn.c,16,104,44,4
freeswitch-1.5.0/libs/freetdm/src/ftdm_backtrace.c,1,58,0,1
freeswitch-1.5.0/libs/freetdm/src/testanalog.c,25,205,92,5
freeswitch-1.5.0/libs/freetdm/src/testcid.c,13,149,60,3
freeswitch-1.5.0/libs/freetdm/src/uart.c,6,115,8,2
freeswitch-1.5.0/libs/freetdm/src/isdn/5ESSStateTE.c,6,480,189,3
freeswitch-1.5.0/libs/freetdm/src/isdn/Q932mes.c,9,680,490,3
freeswitch-1.5.0/libs/freetdm/src/isdn/DMSmes.c,3,352,75,2
freeswitch-1.5.0/libs/freetdm/src/isdn/Q931StateTE.c,24,3121,2049,3
freeswitch-1.5.0/libs/freetdm/src/isdn/Q931api.c,28,1377,883,4
freeswitch-1.5.0/libs/freetdm/src/isdn/nationalStateTE.c,9,346,161,2
freeswitch-1.5.0/libs/freetdm/src/isdn/nationalmes.c,18,482,257,3
freeswitch-1.5.0/libs/freetdm/src/isdn/EuroISDNStateTE.c,4,114,66,3
freeswitch-1.5.0/libs/freetdm/src/isdn/DMSStateNT.c,2,169,60,2
freeswitch-1.5.0/libs/freetdm/src/isdn/nationalStateNT.c,6,179,67,2
freeswitch-1.5.0/libs/freetdm/src/isdn/Q931.c,38,2260,1577,3
freeswitch-1.5.0/libs/freetdm/src/isdn/Q921.c,30,4738,1965,4
freeswitch-1.5.0/libs/freetdm/src/isdn/Q931StateNT.c,11,2856,1863,3
freeswitch-1.5.0/libs/freetdm/src/isdn/Q931ie.c,44,7694,5348,3
freeswitch-1.5.0/libs/freetdm/src/isdn/5ESSStateNT.c,3,211,79,3
freeswitch-1.5.0/libs/freetdm/src/isdn/5ESSmes.c,7,617,256,3
freeswitch-1.5.0/libs/freetdm/src/isdn/mfifo.c,5,788,494,3
freeswitch-1.5.0/libs/freetdm/src/isdn/Q931mes.c,26,5200,3691,3
freeswitch-1.5.0/libs/freetdm/src/isdn/DMSStateTE.c,5,384,146,2
freeswitch-1.5.0/libs/freetdm/src/isdn/EuroISDNStateNT.c,3,89,54,3
freeswitch-1.5.0/libs/freetdm/src/ftmod/ftmod_analog_em/ftmod_analog_em.c,18,745,52,5
freeswitch-1.5.0/libs/freetdm/src/ftmod/ftmod_pika/ftmod_pika.c,6,1357,50,2
freeswitch-1.5.0/libs/freetdm/src/ftmod/ftmod_isdn/ftmod_isdn.c,38,3611,1087,6
