Name,NumRevision,NumAdded,NumDeleted,NumAuthor
git-2.11.0/pack-revindex.c,16,290,113,8
git-2.11.0/credential-store.c,14,207,38,7
git-2.11.0/column.c,12,395,42,4
git-2.11.0/hex.c,10,99,20,7
git-2.11.0/kwset.c,7,729,32,5
git-2.11.0/gettext.c,7,172,7,4
git-2.11.0/url.c,14,170,72,6
git-2.11.0/http-fetch.c,112,2526,2446,30
git-2.11.0/http-push.c,270,4686,2979,66
git-2.11.0/diff.c,1016,12473,7751,136
git-2.11.0/userdiff.c,41,404,125,17
git-2.11.0/sigchain.c,4,53,1,3
git-2.11.0/abspath.c,30,304,143,17
git-2.11.0/http-walker.c,42,1221,718,17
git-2.11.0/mru.c,1,43,0,1
git-2.11.0/trace.c,58,672,301,18
git-2.11.0/resolve-undo.c,17,206,36,6
git-2.11.0/wildmatch.c,18,644,377,3
git-2.11.0/line-range.c,11,270,17,3
git-2.11.0/trailer.c,35,1232,376,10
git-2.11.0/diffcore-pickaxe.c,56,669,451,14
git-2.11.0/remote.c,317,3848,1685,62
git-2.11.0/csum-file.c,34,295,129,16
git-2.11.0/advice.c,37,151,35,12
git-2.11.0/notes-cache.c,10,92,15,6
git-2.11.0/revision.c,571,5256,2323,80
git-2.11.0/transport.c,297,2291,1256,55
git-2.11.0/upload-pack.c,262,2350,1414,53
git-2.11.0/versioncmp.c,2,122,0,1
git-2.11.0/object.c,98,818,443,36
git-2.11.0/parse-options-cb.c,17,218,16,8
git-2.11.0/bulk-checkin.c,9,253,13,7
git-2.11.0/notes-merge.c,52,925,251,12
git-2.11.0/bisect.c,94,1315,434,20
git-2.11.0/diffcore-delta.c,17,339,128,7
git-2.11.0/gpg-interface.c,34,303,93,9
git-2.11.0/patch-ids.c,14,253,156,9
git-2.11.0/string-list.c,29,331,57,13
git-2.11.0/notes.c,83,1888,711,17
git-2.11.0/zlib.c,11,326,88,5
git-2.11.0/cache-tree.c,77,976,323,21
git-2.11.0/sideband.c,19,278,158,10
git-2.11.0/merge-blobs.c,6,117,35,4
git-2.11.0/check-racy.c,3,26,2,3
git-2.11.0/ctype.c,16,106,43,8
git-2.11.0/base85.c,11,167,47,8
git-2.11.0/pack-write.c,39,430,107,17
git-2.11.0/ident.c,110,936,472,34
git-2.11.0/credential.c,15,332,17,4
git-2.11.0/fast-import.c,402,6092,2977,69
git-2.11.0/archive-zip.c,50,735,230,14
git-2.11.0/rerere.c,117,1863,771,23
git-2.11.0/ref-filter.c,48,1876,371,7
git-2.11.0/sha1-lookup.c,6,309,9,4
git-2.11.0/merge-recursive.c,392,7314,5343,68
git-2.11.0/name-hash.c,22,425,221,10
git-2.11.0/fsck.c,78,1758,935,19
git-2.11.0/tree-walk.c,68,1344,347,21
git-2.11.0/sha1-array.c,6,58,4,3
git-2.11.0/convert.c,111,2570,1079,36
git-2.11.0/notes-utils.c,12,171,14,9
git-2.11.0/exec_cmd.c,52,366,249,22
git-2.11.0/prio-queue.c,4,103,29,2
git-2.11.0/apply.c,113,7366,2921,23
git-2.11.0/levenshtein.c,5,84,5,4
git-2.11.0/connected.c,15,161,67,5
git-2.11.0/send-pack.c,136,1743,1198,36
git-2.11.0/submodule-config.c,27,544,88,9
git-2.11.0/parse-options.c,100,1162,557,31
git-2.11.0/sequencer.c,150,2037,779,29
git-2.11.0/replace_object.c,13,124,22,5
git-2.11.0/copy.c,12,111,51,9
git-2.11.0/diffcore-rename.c,110,1628,1033,23
git-2.11.0/diff-no-index.c,61,459,200,20
git-2.11.0/argv-array.c,10,94,21,3
git-2.11.0/utf8.c,71,861,260,20
git-2.11.0/commit.c,361,4102,2644,65
git-2.11.0/thread-utils.c,6,73,7,6
git-2.11.0/sh-i18n--envsubst.c,12,394,23,8
git-2.11.0/tmp-objdir.c,3,225,1,1
git-2.11.0/prompt.c,10,96,36,3
git-2.11.0/show-index.c,13,99,18,11
git-2.11.0/usage.c,32,248,78,20
git-2.11.0/alloc.c,13,157,57,8
git-2.11.0/match-trees.c,12,426,123,7
git-2.11.0/dir.c,360,4499,2050,55
git-2.11.0/diff-lib.c,149,2977,2487,26
git-2.11.0/pager.c,65,393,181,21
git-2.11.0/imap-send.c,155,2700,1357,58
git-2.11.0/remote-curl.c,166,1421,473,28
git-2.11.0/list-objects.c,38,330,114,13
git-2.11.0/refs.c,769,10058,8728,74
git-2.11.0/wrapper.c,85,881,288,26
git-2.11.0/streaming.c,30,504,33,10
git-2.11.0/transport-helper.c,170,1767,533,43
git-2.11.0/setup.c,253,2398,1449,55
git-2.11.0/log-tree.c,214,1702,917,55
git-2.11.0/pack-bitmap-write.c,12,454,30,7
git-2.11.0/shell.c,33,326,139,19
git-2.11.0/archive.c,74,769,284,26
git-2.11.0/quote.c,51,840,405,21
git-2.11.0/attr.c,110,1278,549,31
git-2.11.0/pack-objects.c,95,2404,2031,19
git-2.11.0/diff-delta.c,37,953,515,13
git-2.11.0/walker.c,35,386,92,16
