Name,NumRevision,NumAdded,NumDeleted,NumAuthor
mpv-0.3.0/misc/ring.c,1,113,0,1
mpv-0.3.0/misc/charset_conv.c,2,271,20,1
mpv-0.3.0/options/m_config.c,5,728,51,1
mpv-0.3.0/options/parse_commandline.c,6,275,30,1
mpv-0.3.0/options/m_option.c,9,2370,217,1
mpv-0.3.0/options/m_property.c,4,371,20,1
mpv-0.3.0/options/path.c,6,253,23,1
mpv-0.3.0/options/parse_configfile.c,3,259,23,1
mpv-0.3.0/options/options.c,13,818,139,1
mpv-0.3.0/video/img_format.c,29,639,387,3
mpv-0.3.0/video/mp_image_pool.c,6,188,45,2
mpv-0.3.0/video/mp_image.c,42,967,389,2
mpv-0.3.0/video/fmt-conversion.c,25,407,207,3
mpv-0.3.0/video/sws_utils.c,25,462,166,2
mpv-0.3.0/video/vaapi.c,11,564,82,2
mpv-0.3.0/video/image_writer.c,18,334,68,3
mpv-0.3.0/video/vdpau.c,3,256,6,1
mpv-0.3.0/video/csputils.c,9,435,15,1
mpv-0.3.0/video/out/gl_video.c,64,2325,453,3
mpv-0.3.0/video/out/vo_xv.c,55,1281,465,4
mpv-0.3.0/video/out/gl_hwdec_vda.c,2,126,8,1
mpv-0.3.0/video/out/vo_corevideo.c,15,728,231,2
mpv-0.3.0/video/out/aspect.c,15,203,112,3
mpv-0.3.0/video/out/vo_opengl_old.c,43,2544,481,3
mpv-0.3.0/video/out/vo_vdpau.c,54,2097,746,4
mpv-0.3.0/video/out/vo_sdl.c,43,1239,339,5
mpv-0.3.0/video/out/filter_kernels.c,1,253,0,1
mpv-0.3.0/video/out/vo_vaapi.c,16,1025,453,3
mpv-0.3.0/video/out/vo_x11.c,49,1053,479,4
mpv-0.3.0/video/out/gl_common.c,49,3106,2130,4
mpv-0.3.0/video/out/vo_null.c,12,106,38,2
mpv-0.3.0/video/out/vo_caca.c,20,419,157,3
mpv-0.3.0/video/out/gl_wayland.c,18,367,170,3
mpv-0.3.0/video/out/wayland_common.c,57,1502,681,3
mpv-0.3.0/video/out/gl_hwdec_vdpau.c,6,226,16,1
mpv-0.3.0/video/out/bitmap_packer.c,6,225,11,2
mpv-0.3.0/video/out/x11_common.c,74,3842,2405,6
mpv-0.3.0/video/out/gl_lcms.c,18,262,54,2
mpv-0.3.0/video/out/gl_w32.c,5,193,16,2
mpv-0.3.0/video/out/vo_direct3d.c,29,2011,543,3
mpv-0.3.0/video/out/gl_osd.c,4,331,14,1
mpv-0.3.0/video/out/dither.c,2,209,2,1
