Name,NumRevision,NumAdded,NumDeleted,NumAuthor
neovim-0.2.0/test/unit/fixtures/rbuffer.c,2,26,0,2
neovim-0.2.0/test/unit/fixtures/multiqueue.c,2,15,0,2
neovim-0.2.0/test/functional/fixtures/shell-test.c,4,86,14,3
neovim-0.2.0/test/functional/fixtures/tty-test.c,4,154,5,4
neovim-0.2.0/test/functional/fixtures/printargs-test.c,2,10,0,2
neovim-0.2.0/src/coverity-model.c,3,97,36,2
neovim-0.2.0/src/nvim/ex_getln.c,161,8221,3278,36
neovim-0.2.0/src/nvim/normal.c,184,10093,2864,39
neovim-0.2.0/src/nvim/log.c,14,223,62,8
neovim-0.2.0/src/nvim/diff.c,59,2612,340,24
neovim-0.2.0/src/nvim/eval.c,814,37820,17611,79
neovim-0.2.0/src/nvim/if_cscope.c,69,2353,505,26
neovim-0.2.0/src/nvim/option.c,297,10512,4019,57
neovim-0.2.0/src/nvim/buffer.c,182,6762,1858,50
neovim-0.2.0/src/nvim/mouse.c,14,618,18,7
neovim-0.2.0/src/nvim/strings.c,62,1779,435,21
neovim-0.2.0/src/nvim/memfile.c,42,1787,851,17
neovim-0.2.0/src/nvim/memory.c,64,916,293,24
neovim-0.2.0/src/nvim/fileio.c,198,9521,2509,47
neovim-0.2.0/src/nvim/undo.c,86,3507,833,30
neovim-0.2.0/src/nvim/fold.c,50,3240,359,21
neovim-0.2.0/src/nvim/terminal.c,75,1566,479,22
neovim-0.2.0/src/nvim/menu.c,46,1650,344,18
neovim-0.2.0/src/nvim/mbyte.c,77,4469,2243,24
neovim-0.2.0/src/nvim/hashtab.c,22,617,214,8
neovim-0.2.0/src/nvim/ex_docmd.c,268,11279,2312,52
neovim-0.2.0/src/nvim/state.c,6,138,5,3
neovim-0.2.0/src/nvim/spellfile.c,16,5222,93,2
neovim-0.2.0/src/nvim/move.c,36,2378,344,21
neovim-0.2.0/src/nvim/ui_bridge.c,24,764,386,7
neovim-0.2.0/src/nvim/ex_cmds.c,215,9045,3354,49
neovim-0.2.0/src/nvim/screen.c,181,9120,2284,49
neovim-0.2.0/src/nvim/os_unix.c,89,1977,1390,24
