Name,NumRevision,NumAdded,NumDeleted,NumAuthor
openssl-OpenSSL_1_1_0/crypto/LPdir_wince.c,6,61,22,3
openssl-OpenSSL_1_1_0/crypto/LPdir_unix.c,9,207,89,5
openssl-OpenSSL_1_1_0/crypto/armcap.c,11,271,122,4
openssl-OpenSSL_1_1_0/crypto/mem_sec.c,13,542,59,7
openssl-OpenSSL_1_1_0/crypto/cpt_err.c,24,233,186,10
openssl-OpenSSL_1_1_0/crypto/ppccap.c,27,435,162,6
openssl-OpenSSL_1_1_0/crypto/s390xcap.c,4,65,25,3
openssl-OpenSSL_1_1_0/crypto/cryptlib.c,129,1704,1396,17
openssl-OpenSSL_1_1_0/crypto/LPdir_win.c,20,453,266,7
openssl-OpenSSL_1_1_0/crypto/init.c,62,1174,651,11
openssl-OpenSSL_1_1_0/crypto/mem.c,72,1788,1625,15
openssl-OpenSSL_1_1_0/crypto/o_dir.c,9,103,71,4
openssl-OpenSSL_1_1_0/crypto/ex_data.c,51,1544,1213,15
openssl-OpenSSL_1_1_0/crypto/LPdir_nyi.c,4,63,14,3
openssl-OpenSSL_1_1_0/crypto/o_str.c,31,395,173,9
openssl-OpenSSL_1_1_0/crypto/uid.c,10,108,75,6
openssl-OpenSSL_1_1_0/crypto/ebcdic.c,16,502,156,8
openssl-OpenSSL_1_1_0/crypto/o_init.c,10,151,120,4
openssl-OpenSSL_1_1_0/crypto/cversion.c,29,210,149,11
openssl-OpenSSL_1_1_0/crypto/LPdir_win32.c,6,56,20,3
openssl-OpenSSL_1_1_0/crypto/threads_pthread.c,7,156,56,5
openssl-OpenSSL_1_1_0/crypto/threads_none.c,3,139,47,3
openssl-OpenSSL_1_1_0/crypto/threads_win.c,8,174,66,7
openssl-OpenSSL_1_1_0/crypto/LPdir_vms.c,9,333,156,5
openssl-OpenSSL_1_1_0/crypto/o_time.c,30,917,612,10
openssl-OpenSSL_1_1_0/crypto/sparcv9cap.c,26,746,489,3
openssl-OpenSSL_1_1_0/crypto/o_fopen.c,2,91,1,2
openssl-OpenSSL_1_1_0/crypto/dllmain.c,2,54,0,2
openssl-OpenSSL_1_1_0/crypto/o_fips.c,4,101,70,4
openssl-OpenSSL_1_1_0/crypto/mem_dbg.c,83,2165,1632,14
openssl-OpenSSL_1_1_0/crypto/mem_clr.c,13,116,95,9
openssl-OpenSSL_1_1_0/crypto/kdf/tls1_prf.c,5,288,59,2
openssl-OpenSSL_1_1_0/crypto/kdf/kdf_err.c,4,95,57,3
openssl-OpenSSL_1_1_0/crypto/kdf/hkdf.c,2,264,45,2
openssl-OpenSSL_1_1_0/crypto/md4/md4_dgst.c,12,430,291,8
openssl-OpenSSL_1_1_0/crypto/md4/md4_one.c,8,130,88,6
openssl-OpenSSL_1_1_0/crypto/asn1/a_gentm.c,38,649,398,10
openssl-OpenSSL_1_1_0/crypto/asn1/tasn_prn.c,39,1246,770,12
openssl-OpenSSL_1_1_0/crypto/asn1/asn1_par.c,47,971,617,17
openssl-OpenSSL_1_1_0/crypto/asn1/i2d_pu.c,18,146,110,10
openssl-OpenSSL_1_1_0/crypto/asn1/a_strnid.c,39,620,368,12
openssl-OpenSSL_1_1_0/crypto/asn1/n_pkey.c,39,831,781,11
openssl-OpenSSL_1_1_0/crypto/asn1/a_mbstr.c,28,769,412,9
openssl-OpenSSL_1_1_0/crypto/asn1/ameth_lib.c,60,872,515,9
openssl-OpenSSL_1_1_0/crypto/asn1/x_algor.c,28,341,260,9
openssl-OpenSSL_1_1_0/crypto/asn1/tasn_dec.c,70,2903,1846,17
openssl-OpenSSL_1_1_0/crypto/asn1/a_octet.c,18,146,121,11
openssl-OpenSSL_1_1_0/crypto/asn1/a_strex.c,36,1126,536,13
openssl-OpenSSL_1_1_0/crypto/asn1/asn1_gen.c,46,1486,811,15
openssl-OpenSSL_1_1_0/crypto/asn1/x_pkey.c,35,287,247,12
openssl-OpenSSL_1_1_0/crypto/asn1/nsseq.c,13,174,145,8
openssl-OpenSSL_1_1_0/crypto/asn1/a_print.c,22,328,227,11
openssl-OpenSSL_1_1_0/crypto/asn1/asn_moid.c,20,251,159,7
openssl-OpenSSL_1_1_0/crypto/asn1/t_pkey.c,53,2097,2014,11
openssl-OpenSSL_1_1_0/crypto/asn1/p5_scrypt.c,7,290,63,6
openssl-OpenSSL_1_1_0/crypto/asn1/a_int.c,60,1368,814,16
openssl-OpenSSL_1_1_0/crypto/asn1/a_digest.c,22,176,126,10
openssl-OpenSSL_1_1_0/crypto/asn1/a_dup.c,17,176,118,9
openssl-OpenSSL_1_1_0/crypto/asn1/f_int.c,27,411,256,9
openssl-OpenSSL_1_1_0/crypto/asn1/tasn_new.c,37,832,533,10
openssl-OpenSSL_1_1_0/crypto/asn1/p8_pkey.c,25,343,271,8
openssl-OpenSSL_1_1_0/crypto/asn1/a_bitstr.c,40,566,380,13
openssl-OpenSSL_1_1_0/crypto/asn1/tasn_enc.c,34,1394,856,8
openssl-OpenSSL_1_1_0/crypto/asn1/i2d_pr.c,19,154,123,10
openssl-OpenSSL_1_1_0/crypto/asn1/x_long.c,16,345,215,7
openssl-OpenSSL_1_1_0/crypto/asn1/bio_asn1.c,15,819,454,7
openssl-OpenSSL_1_1_0/crypto/asn1/a_utf8.c,18,438,257,10
openssl-OpenSSL_1_1_0/crypto/asn1/a_i2d_fp.c,18,266,172,9
openssl-OpenSSL_1_1_0/crypto/asn1/asn1_err.c,88,1365,1106,12
openssl-OpenSSL_1_1_0/crypto/asn1/a_sign.c,46,712,508,13
openssl-OpenSSL_1_1_0/crypto/asn1/tasn_utl.c,22,520,308,9
openssl-OpenSSL_1_1_0/crypto/asn1/a_verify.c,39,476,323,11
openssl-OpenSSL_1_1_0/crypto/asn1/p5_pbe.c,32,360,281,8
openssl-OpenSSL_1_1_0/crypto/asn1/evp_asn1.c,22,404,307,12
